Date,Year,Distance,Event / Venue,Joggler,Gender,Nationality,Finish Time,Drops,Notes / Result Links
12/09/1981,1981,3b Marathon,Montreal International Marathon,Michel Lauzière,M,CAN,4:05:00.00,1,First Joggling Marathon
30/05/1982,1982,3b Marathon,Montreal International Marathon,Michel Lauzière,M,CAN,3:57:00.00,?,
01/01/1988,1988,3b Marathon,??,Albert Lucas,M,USA,3:29:04.00,?,
04/07/1988,1988,3b Marathon,Salmon River Idaho,Ashrita Furman,M,USA,3:22:32.00,?,
10/08/2000,2000,3b Marathon,"Karlsruhe, Germany",Paul-Erik Lillholm,M,NOR,3:20:49.00,?,
25/09/2005,2005,3b Marathon,Toronto Waterfront Marathon,Michal Kapral,M,CAN,3:07:46.00,20,
20/11/2005,2005,3b Marathon,Philadelphia Marathon,Zach Warren,M,USA,3:07:05.00,?,First Sub 3
17/04/2006,2006,3b Marathon,Boston Marathon,Zach Warren,M,USA,2:58:23.00,?,
24/09/2006,2006,3b Marathon,Toronto Waterfront Marathon,Michal Kapral,M,CAN,2:57:44.00,8,
19/11/2006,2006,3b Marathon,Philadelphia Marathon,Zach Warren,M,USA,2:52:15.00,?,
30/09/2007,2007,3b Marathon,Toronto Waterfront Marathon,Michal Kapral,M,CAN,2:50:12.00,2,
06/04/2025,2025,3b Marathon,"Namur Marathon, Belgium",Benjamin Balbeur,M,BEL,2:47:52.00,?,Current WR
