Points,100m,110mH,200m,300m,400m,400mH,4x100m,4x200m,4x400m,600m,800m,1000m,1500m,Mile,2000m,2000m SC,3000m,3000m SC,2 Miles,5000m,10000m,10 km,15 km,10 Miles,20 km,HM,25 km,30 km,Marathon,100 km
1400,10.12,11.24,20.51,32.27,45.35,48.07,38.04,1:19.29,3:00.61,1:15.62,1:47.35,2:18.56,3:36.77,3:53.34,4:55.11,5:22.22,7:37.43,8:01.31,8:10.66,13:03.68,27:20.35,27:45,42:11,45:23,56:51,1:00:02,1:11:47,1:26:54,2:04:20,5:52:57
1399,,11.25,20.52,32.29,45.37,48.09,38.06,1:19.34,3:00.72,1:15.66,1:47.40,2:18.62,3:36.88,3:53.46,4:55.28,5:22.42,7:37.70,8:01.67,8:10.95,13:04.15,27:21.37,27:46,42:13,45:25,56:53,1:00:04,1:11:50,1:26:58,2:04:26,5:53:11
1398,,,,32.31,45.40,48.12,38.08,1:19.39,3:00.83,1:15.70,1:47.45,2:18.69,3:37.00,3:53.58,4:55.44,5:22.62,7:37.96,8:02.04,8:11.23,13:04.63,27:22.39,27:47,42:14,45:27,56:55,1:00:06,1:11:53,1:27:01,2:04:31,5:53:25
1397,10.13,11.26,20.53,32.32,45.42,48.15,38.11,1:19.43,3:00.94,1:15.74,1:47.50,2:18.76,3:37.11,3:53.71,4:55.60,5:22.82,7:38.23,8:02.41,8:11.52,13:05.10,27:23.42,27:48,42:16,45:29,56:57,1:00:09,1:11:56,1:27:05,2:04:37,5:53:40
1396,,11.27,20.54,32.34,45.44,48.18,38.13,1:19.48,3:01.04,1:15.78,1:47.55,2:18.83,3:37.23,3:53.83,4:55.76,5:23.02,7:38.49,8:02.78,8:11.81,13:05.57,27:24.44,27:49,42:17,45:30,56:59,1:00:11,1:11:59,1:27:08,2:04:42,5:53:54
1395,10.14,,20.55,32.35,45.46,48.21,38.15,1:19.53,3:01.15,1:15.81,1:47.60,2:18.90,3:37.34,3:53.96,4:55.93,5:23.22,7:38.76,8:03.14,8:12.10,13:06.04,27:25.46,27:50,42:19,45:32,57:01,1:00:13,1:12:01,1:27:12,2:04:48,5:54:08
1394,,11.28,20.56,32.37,45.49,48.24,38.17,1:19.58,3:01.26,1:15.85,1:47.65,2:18.97,3:37.46,3:54.08,4:56.09,5:23.42,7:39.03,8:03.51,8:12.39,13:06.51,27:26.48,27:51,42:21,45:34,57:03,1:00:15,1:12:04,1:27:15,2:04:53,5:54:22
1393,,11.29,20.57,32.39,45.51,48.27,38.19,1:19.62,3:01.36,1:15.89,1:47.70,2:19.03,3:37.57,3:54.20,4:56.25,5:23.62,7:39.29,8:03.88,8:12.68,13:06.98,27:27.51,27:52,42:22,45:35,57:05,1:00:18,1:12:07,1:27:19,2:04:59,5:54:37
1392,10.15,,20.58,32.40,45.53,48.30,38.21,1:19.67,3:01.47,1:15.93,1:47.75,2:19.10,3:37.69,3:54.33,4:56.42,5:23.82,7:39.56,8:04.25,8:12.96,13:07.45,27:28.53,27:53,42:24,45:37,57:08,1:00:20,1:12:10,1:27:22,2:05:04,5:54:51
1391,,11.3,20.59,32.42,45.56,48.33,38.24,1:19.72,3:01.58,1:15.97,1:47.80,2:19.17,3:37.81,3:54.45,4:56.58,5:24.02,7:39.82,8:04.62,8:13.25,13:07.92,27:29.56,27:54,42:25,45:39,57:10,1:00:22,1:12:13,1:27:26,2:05:10,5:55:05
1390,10.16,11.31,20.6,32.43,45.58,48.36,38.26,1:19.77,3:01.69,1:16.01,1:47.86,2:19.24,3:37.92,3:54.58,4:56.74,5:24.22,7:40.09,8:04.99,8:13.54,13:08.39,27:30.58,27:55,42:27,45:40,57:12,1:00:24,1:12:15,1:27:30,2:05:15,5:55:20
1389,,,,32.45,45.60,48.39,38.28,1:19.81,3:01.79,1:16.05,1:47.91,2:19.31,3:38.04,3:54.70,4:56.90,5:24.42,7:40.36,8:05.36,8:13.83,13:08.87,27:31.61,27:56,42:28,45:42,57:14,1:00:27,1:12:18,1:27:33,2:05:21,5:55:34
1388,10.17,11.32,20.61,32.47,45.63,48.42,38.30,1:19.86,3:01.90,1:16.09,1:47.96,2:19.38,3:38.15,3:54.83,4:57.07,5:24.62,7:40.62,8:05.72,8:14.12,13:09.34,27:32.63,27:57,42:30,45:44,57:16,1:00:29,1:12:21,1:27:37,2:05:26,5:55:49
1387,,11.33,20.62,32.48,45.65,48.45,38.32,1:19.91,3:02.01,1:16.13,1:48.01,2:19.45,3:38.27,3:54.95,4:57.23,5:24.82,7:40.89,8:06.09,8:14.41,13:09.81,27:33.66,27:58,42:32,45:45,57:18,1:00:31,1:12:24,1:27:40,2:05:32,5:56:03
1386,,,20.63,32.50,45.67,48.48,38.34,1:19.96,3:02.12,1:16.16,1:48.06,2:19.51,3:38.39,3:55.07,4:57.39,5:25.02,7:41.16,8:06.46,8:14.70,13:10.28,27:34.68,27:59,42:33,45:47,57:20,1:00:33,1:12:27,1:27:44,2:05:37,5:56:17
1385,10.18,11.34,20.64,32.51,45.70,48.51,38.36,1:20.00,3:02.22,1:16.20,1:48.11,2:19.58,3:38.50,3:55.20,4:57.56,5:25.22,7:41.42,8:06.83,8:14.99,13:10.76,27:35.71,28:00,42:35,45:49,57:23,1:00:36,1:12:30,1:27:47,2:05:43,5:56:32
