600m,800m,1000m,1500m,Mile,2000m,Points
1:15.62,1:47.35,2:18.56,3:36.77,3:53.34,4:55.11,1400
1:15.66,1:47.40,2:18.62,3:36.88,3:53.46,4:55.28,1399
1:15.70,1:47.45,2:18.69,3:37.00,3:53.58,4:55.44,1398
1:15.74,1:47.50,2:18.76,3:37.11,3:53.71,4:55.60,1397
1:15.78,1:47.55,2:18.83,3:37.23,3:53.83,4:55.76,1396
1:15.81,1:47.60,2:18.90,3:37.34,3:53.96,4:55.93,1395
1:15.85,1:47.65,2:18.97,3:37.46,3:54.08,4:56.09,1394
1:15.89,1:47.70,2:19.03,3:37.57,3:54.20,4:56.25,1393
1:15.93,1:47.75,2:19.10,3:37.69,3:54.33,4:56.42,1392
1:15.97,1:47.80,2:19.17,3:37.81,3:54.45,4:56.58,1391
1:16.01,1:47.86,2:19.24,3:37.92,3:54.58,4:56.74,1390
1:16.05,1:47.91,2:19.31,3:38.04,3:54.70,4:56.90,1389
1:16.09,1:47.96,2:19.38,3:38.15,3:54.83,4:57.07,1388
1:16.13,1:48.01,2:19.45,3:38.27,3:54.95,4:57.23,1387
1:16.16,1:48.06,2:19.51,3:38.39,3:55.07,4:57.39,1386
1:16.20,1:48.11,2:19.58,3:38.50,3:55.20,4:57.56,1385
1:16.24,1:48.16,2:19.65,3:38.62,3:55.32,4:57.72,1384
1:16.28,1:48.21,2:19.72,3:38.73,3:55.45,4:57.88,1383
1:16.32,1:48.27,2:19.79,3:38.85,3:55.57,4:58.05,1382
1:16.36,1:48.32,2:19.86,3:38.97,3:55.70,4:58.21,1381
1:16.40,1:48.37,2:19.93,3:39.08,3:55.82,4:58.37,1380
1:16.44,1:48.42,2:20.00,3:39.20,3:55.95,4:58.54,1379
1:16.48,1:48.47,2:20.07,3:39.31,3:56.07,4:58.70,1378
1:16.51,1:48.52,2:20.13,3:39.43,3:56.20,4:58.87,1377
1:16.55,1:48.57,2:20.20,3:39.55,3:56.32,4:59.03,1376
1:16.59,1:48.63,2:20.27,3:39.66,3:56.45,4:59.19,1375
1:16.63,1:48.68,2:20.34,3:39.78,3:56.57,4:59.36,1374
1:16.67,1:48.73,2:20.41,3:39.90,3:56.70,4:59.52,1373
1:16.71,1:48.78,2:20.48,3:40.01,3:56.82,4:59.69,1372
1:16.75,1:48.83,2:20.55,3:40.13,3:56.95,4:59.85,1371
1:16.79,1:48.88,2:20.62,3:40.25,3:57.07,5:00.01,1370
1:16.83,1:48.93,2:20.69,3:40.36,3:57.20,5:00.18,1369
1:16.87,1:48.99,2:20.76,3:40.48,3:57.32,5:00.34,1368
