Points,100m,110mH,200m,300m,400m,400mH,4x100m,4x200m,4x400m,600m,800m,1000m,1500m,Mile,2000m,2000m SC,3000m,3000m SC,2 Miles,5000m,10000m,10 km,15 km,10 Miles,20 km,HM,25 km,30 km,Marathon,100 km
1400,10.12,11.24,20.51,32.27,45.35,48.07,38.04,79.29,180.61,75.62,107.35,138.56,216.77,233.34,295.11,322.22,457.43,481.31,490.66,783.68,1640.35,1665.0,2531.0,2723.0,3411.0,3602.0,4307.0,5214.0,7460.0,21177.0
1399,10.12,11.25,20.52,32.29,45.37,48.09,38.06,79.34,180.72,75.66,107.4,138.62,216.88,233.46,295.28,322.42,457.7,481.67,490.95,784.15,1641.37,1666.0,2533.0,2725.0,3413.0,3604.0,4310.0,5218.0,7466.0,21191.0
1398,10.12,11.25,20.52,32.31,45.4,48.12,38.08,79.39,180.83,75.7,107.45,138.69,217.0,233.58,295.44,322.62,457.96,482.04,491.23,784.63,1642.39,1667.0,2534.0,2727.0,3415.0,3606.0,4313.0,5221.0,7471.0,21205.0
1397,10.13,11.26,20.53,32.32,45.42,48.15,38.11,79.43,180.94,75.74,107.5,138.76,217.11,233.71,295.6,322.82,458.23,482.41,491.52,785.1,1643.42,1668.0,2536.0,2729.0,3417.0,3609.0,4316.0,5225.0,7477.0,21220.0
1396,10.13,11.27,20.54,32.34,45.44,48.18,38.13,79.48,181.04,75.78,107.55,138.83,217.23,233.83,295.76,323.02,458.49,482.78,491.81,785.57,1644.44,1669.0,2537.0,2730.0,3419.0,3611.0,4319.0,5228.0,7482.0,21234.0
1395,10.14,11.27,20.55,32.35,45.46,48.21,38.15,79.53,181.15,75.81,107.6,138.9,217.34,233.96,295.93,323.22,458.76,483.14,492.1,786.04,1645.46,1670.0,2539.0,2732.0,3421.0,3613.0,4321.0,5232.0,7488.0,21248.0
1394,10.14,11.28,20.56,32.37,45.49,48.24,38.17,79.58,181.26,75.85,107.65,138.97,217.46,234.08,296.09,323.42,459.03,483.51,492.39,786.51,1646.48,1671.0,2541.0,2734.0,3423.0,3615.0,4324.0,5235.0,7493.0,21262.0
1393,10.14,11.29,20.57,32.39,45.51,48.27,38.19,79.62,181.36,75.89,107.7,139.03,217.57,234.2,296.25,323.62,459.29,483.88,492.68,786.98,1647.51,1672.0,2542.0,2735.0,3425.0,3618.0,4327.0,5239.0,7499.0,21277.0
1392,10.15,11.29,20.58,32.4,45.53,48.3,38.21,79.67,181.47,75.93,107.75,139.1,217.69,234.33,296.42,323.82,459.56,484.25,492.96,787.45,1648.53,1673.0,2544.0,2737.0,3428.0,3620.0,4330.0,5242.0,7504.0,21291.0
1391,10.15,11.3,20.59,32.42,45.56,48.33,38.24,79.72,181.58,75.97,107.8,139.17,217.81,234.45,296.58,324.02,459.82,484.62,493.25,787.92,1649.56,1674.0,2545.0,2739.0,3430.0,3622.0,4333.0,5246.0,7510.0,21305.0
1390,10.16,11.31,20.6,32.43,45.58,48.36,38.26,79.77,181.69,76.01,107.86,139.24,217.92,234.58,296.74,324.22,460.09,484.99,493.54,788.39,1650.58,1675.0,2547.0,2740.0,3432.0,3624.0,4335.0,5250.0,7515.0,21320.0
1389,10.16,11.31,20.6,32.45,45.6,48.39,38.28,79.81,181.79,76.05,107.91,139.31,218.04,234.7,296.9,324.42,460.36,485.36,493.83,788.87,1651.61,1676.0,2548.0,2742.0,3434.0,3627.0,4338.0,5253.0,7521.0,21334.0
1388,10.17,11.32,20.61,32.47,45.63,48.42,38.3,79.86,181.9,76.09,107.96,139.38,218.15,234.83,297.07,324.62,460.62,485.72,494.12,789.34,1652.63,1677.0,2550.0,2744.0,3436.0,3629.0,4341.0,5257.0,7526.0,21349.0
1387,10.17,11.33,20.62,32.48,45.65,48.45,38.32,79.91,182.01,76.13,108.01,139.45,218.27,234.95,297.23,324.82,460.89,486.09,494.41,789.81,1653.66,1678.0,2552.0,2745.0,3438.0,3631.0,4344.0,5260.0,7532.0,21363.0
1386,10.17,11.33,20.63,32.5,45.67,48.48,38.34,79.96,182.12,76.16,108.06,139.51,218.39,235.07,297.39,325.02,461.16,486.46,494.7,790.28,1654.68,1679.0,2553.0,2747.0,3440.0,3633.0,4347.0,5264.0,7537.0,21377.0
1385,10.18,11.34,20.64,32.51,45.7,48.51,38.36,80.0,182.22,76.2,108.11,139.58,218.5,235.2,297.56,325.22,461.42,486.83,494.99,790.76,1655.71,1680.0,2555.0,2749.0,3443.0,3636.0,4350.0,5267.0,7543.0,21392.0
1384,10.18,11.35,20.65,32.53,45.72,48.53,38.39,80.05,182.33,76.24,108.16,139.65,218.62,235.32,297.72,325.42,461.69,487.2,495.28,791.23,1656.74,1681.0,2556.0,2750.0,3445.0,3638.0,4352.0,5271.0,7548.0,21406.0
1383,10.19,11.35,20.66,32.55,45.74,48.56,38.41,80.1,182.44,76.28,108.21,139.72,218.73,235.45,297.88,325.62,461.96,487.57,495.57,791.7,1657.77,1682.0,2558.0,2752.0,3447.0,3640.0,4355.0,5274.0,7554.0,21420.0
1382,10.19,11.36,20.67,32.56,45.77,48.59,38.43,80.15,182.55,76.32,108.27,139.79,218.85,235.57,298.05,325.82,462.22,487.94,495.85,792.17,1658.79,1683.0,2559.0,2754.0,3449.0,3642.0,4358.0,5278.0,7559.0,21435.0
1381,10.2,11.37,20.68,32.58,45.79,48.62,38.45,80.2,182.65,76.36,108.32,139.86,218.97,235.7,298.21,326.02,462.49,488.31,496.14,792.65,1659.82,1684.0,2561.0,2756.0,3451.0,3645.0,4361.0,5282.0,7565.0,21449.0
1380,10.2,11.37,20.69,32.59,45.81,48.65,38.47,80.24,182.76,76.4,108.37,139.93,219.08,235.82,298.37,326.22,462.76,488.68,496.43,793.12,1660.85,1685.0,2563.0,2757.0,3453.0,3647.0,4364.0,5285.0,7570.0,21464.0
1379,10.2,11.38,20.69,32.61,45.84,48.68,38.49,80.29,182.87,76.44,108.42,140.0,219.2,235.95,298.54,326.42,463.02,489.05,496.72,793.59,1661.88,1686.0,2564.0,2759.0,3455.0,3649.0,4366.0,5289.0,7576.0,21478.0
1378,10.21,11.39,20.7,32.63,45.86,48.71,38.52,80.34,182.98,76.48,108.47,140.07,219.31,236.07,298.7,326.62,463.29,489.42,497.01,794.07,1662.91,1687.0,2566.0,2761.0,3458.0,3652.0,4369.0,5292.0,7581.0,21492.0
1377,10.21,11.39,20.71,32.64,45.88,48.74,38.54,80.39,183.08,76.51,108.52,140.13,219.43,236.2,298.87,326.82,463.56,489.79,497.3,794.54,1663.94,1688.0,2567.0,2762.0,3460.0,3654.0,4372.0,5296.0,7587.0,21507.0
1376,10.22,11.4,20.72,32.66,45.91,48.77,38.56,80.43,183.19,76.55,108.57,140.2,219.55,236.32,299.03,327.02,463.83,490.16,497.59,795.02,1664.97,1689.0,2569.0,2764.0,3462.0,3656.0,4375.0,5299.0,7592.0,21521.0
1375,10.22,11.41,20.73,32.67,45.93,48.8,38.58,80.48,183.3,76.59,108.63,140.27,219.66,236.45,299.19,327.22,464.09,490.53,497.88,795.49,1666.0,1690.0,2570.0,2766.0,3464.0,3658.0,4378.0,5303.0,7598.0,21536.0
1374,10.23,11.41,20.74,32.69,45.95,48.83,38.6,80.53,183.41,76.63,108.68,140.34,219.78,236.57,299.36,327.43,464.36,490.9,498.17,795.96,1667.03,1691.0,2572.0,2767.0,3466.0,3661.0,4381.0,5307.0,7603.0,21550.0
1373,10.23,11.42,20.75,32.71,45.98,48.86,38.62,80.58,183.52,76.67,108.73,140.41,219.9,236.7,299.52,327.63,464.63,491.27,498.47,796.44,1668.06,1692.0,2574.0,2769.0,3468.0,3663.0,4383.0,5310.0,7609.0,21564.0
1372,10.23,11.43,20.76,32.72,46.0,48.89,38.64,80.63,183.62,76.71,108.78,140.48,220.01,236.82,299.69,327.83,464.9,491.64,498.76,796.91,1669.09,1693.0,2575.0,2771.0,3470.0,3665.0,4386.0,5314.0,7614.0,21579.0
1371,10.24,11.44,20.77,32.74,46.02,48.92,38.67,80.67,183.73,76.75,108.83,140.55,220.13,236.95,299.85,328.03,465.16,492.02,499.05,797.39,1670.12,1694.0,2577.0,2773.0,3473.0,3667.0,4389.0,5317.0,7620.0,21593.0
1370,10.24,11.44,20.78,32.76,46.05,48.95,38.69,80.72,183.84,76.79,108.88,140.62,220.25,237.07,300.01,328.23,465.43,492.39,499.34,797.86,1671.15,1695.0,2578.0,2774.0,3475.0,3670.0,4392.0,5321.0,7625.0,21608.0
1369,10.25,11.45,20.78,32.77,46.07,48.98,38.71,80.77,183.95,76.83,108.93,140.69,220.36,237.2,300.18,328.43,465.7,492.76,499.63,798.34,1672.19,1696.0,2580.0,2776.0,3477.0,3672.0,4395.0,5324.0,7631.0,21622.0
1368,10.25,11.46,20.79,32.79,46.09,49.01,38.73,80.82,184.06,76.87,108.99,140.76,220.48,237.32,300.34,328.63,465.97,493.13,499.92,798.82,1673.22,1697.0,2581.0,2778.0,3479.0,3674.0,4398.0,5328.0,7637.0,21637.0
1367,10.26,11.46,20.8,32.8,46.12,49.04,38.75,80.87,184.16,76.91,109.04,140.82,220.6,237.45,300.51,328.83,466.24,493.5,500.21,799.29,1674.25,1698.0,2583.0,2779.0,3481.0,3677.0,4400.0,5332.0,7642.0,21651.0
1366,10.26,11.47,20.81,32.82,46.14,49.07,38.77,80.91,184.27,76.94,109.09,140.89,220.71,237.57,300.67,329.04,466.51,493.87,500.5,799.77,1675.29,1699.0,2585.0,2781.0,3483.0,3679.0,4403.0,5335.0,7648.0,21666.0
1365,10.26,11.48,20.82,32.84,46.16,49.1,38.8,80.96,184.38,76.98,109.14,140.96,220.83,237.7,300.84,329.24,466.77,494.25,500.79,800.24,1676.32,1700.0,2586.0,2783.0,3485.0,3681.0,4406.0,5339.0,7653.0,21680.0
1364,10.27,11.48,20.83,32.85,46.19,49.13,38.82,81.01,184.49,77.02,109.19,141.03,220.95,237.82,301.0,329.44,467.04,494.62,501.08,800.72,1677.36,1701.0,2588.0,2784.0,3488.0,3683.0,4409.0,5342.0,7659.0,21695.0
1363,10.27,11.49,20.84,32.87,46.21,49.16,38.84,81.06,184.6,77.06,109.24,141.1,221.06,237.95,301.16,329.64,467.31,494.99,501.38,801.2,1678.39,1702.0,2589.0,2786.0,3490.0,3686.0,4412.0,5346.0,7664.0,21709.0
1362,10.28,11.5,20.85,32.88,46.23,49.18,38.86,81.11,184.71,77.1,109.29,141.17,221.18,238.07,301.33,329.84,467.58,495.36,501.67,801.67,1679.43,1703.0,2591.0,2788.0,3492.0,3688.0,4415.0,5349.0,7670.0,21724.0
1361,10.28,11.5,20.86,32.9,46.26,49.21,38.88,81.15,184.81,77.14,109.35,141.24,221.3,238.2,301.49,330.05,467.85,495.74,501.96,802.15,1680.46,1704.0,2593.0,2790.0,3494.0,3690.0,4417.0,5353.0,7675.0,21738.0
1360,10.29,11.51,20.87,32.92,46.28,49.24,38.9,81.2,184.92,77.18,109.4,141.31,221.42,238.33,301.66,330.25,468.12,496.11,502.25,802.63,1681.5,1705.0,2594.0,2791.0,3496.0,3692.0,4420.0,5357.0,7681.0,21753.0
1359,10.29,11.52,20.87,32.93,46.3,49.27,38.93,81.25,185.03,77.22,109.45,141.38,221.53,238.45,301.82,330.45,468.39,496.48,502.54,803.1,1682.53,1706.0,2596.0,2793.0,3498.0,3695.0,4423.0,5360.0,7686.0,21767.0
1358,10.29,11.52,20.88,32.95,46.33,49.3,38.95,81.3,185.14,77.26,109.5,141.45,221.65,238.58,301.99,330.65,468.66,496.85,502.84,803.58,1683.57,1707.0,2597.0,2795.0,3500.0,3697.0,4426.0,5364.0,7692.0,21782.0
1357,10.3,11.53,20.89,32.97,46.35,49.33,38.97,81.35,185.25,77.3,109.55,141.52,221.77,238.7,302.15,330.85,468.93,497.23,503.13,804.06,1684.61,1708.0,2599.0,2796.0,3503.0,3699.0,4429.0,5367.0,7698.0,21796.0
1356,10.3,11.54,20.9,32.98,46.37,49.36,38.99,81.39,185.36,77.34,109.61,141.59,221.88,238.83,302.32,331.06,469.2,497.6,503.42,804.53,1685.65,1709.0,2600.0,2798.0,3505.0,3702.0,4432.0,5371.0,7703.0,21811.0
1355,10.31,11.54,20.91,33.0,46.4,49.39,39.01,81.44,185.47,77.38,109.66,141.66,222.0,238.95,302.48,331.26,469.46,497.97,503.71,805.01,1686.68,1711.0,2602.0,2800.0,3507.0,3704.0,4434.0,5375.0,7709.0,21825.0
1354,10.31,11.55,20.92,33.01,46.42,49.42,39.04,81.49,185.57,77.42,109.71,141.73,222.12,239.08,302.65,331.46,469.73,498.35,504.0,805.49,1687.72,1712.0,2604.0,2802.0,3509.0,3706.0,4437.0,5378.0,7714.0,21840.0
1353,10.32,11.56,20.93,33.03,46.44,49.45,39.06,81.54,185.68,77.46,109.76,141.8,222.24,239.21,302.81,331.66,470.0,498.72,504.3,805.97,1688.76,1713.0,2605.0,2803.0,3511.0,3708.0,4440.0,5382.0,7720.0,21854.0
1352,10.32,11.56,20.94,33.05,46.47,49.48,39.08,81.59,185.79,77.49,109.81,141.87,222.35,239.33,302.98,331.87,470.27,499.09,504.59,806.45,1689.8,1714.0,2607.0,2805.0,3513.0,3711.0,4443.0,5385.0,7725.0,21869.0
1351,10.32,11.57,20.95,33.06,46.49,49.51,39.1,81.64,185.9,77.53,109.86,141.94,222.47,239.46,303.15,332.07,470.54,499.47,504.88,806.93,1690.84,1715.0,2608.0,2807.0,3516.0,3713.0,4446.0,5389.0,7731.0,21883.0
1350,10.33,11.58,20.96,33.08,46.51,49.54,39.12,81.68,186.01,77.57,109.92,142.0,222.59,239.58,303.31,332.27,470.81,499.84,505.18,807.4,1691.88,1716.0,2610.0,2808.0,3518.0,3715.0,4449.0,5393.0,7737.0,21898.0
1349,10.33,11.58,20.97,33.1,46.54,49.57,39.14,81.73,186.12,77.61,109.97,142.07,222.71,239.71,303.48,332.48,471.08,500.22,505.47,807.88,1692.92,1717.0,2612.0,2810.0,3520.0,3718.0,4452.0,5396.0,7742.0,21912.0
1348,10.34,11.59,20.97,33.11,46.56,49.6,39.17,81.78,186.23,77.65,110.02,142.14,222.82,239.84,303.64,332.68,471.35,500.59,505.76,808.36,1693.96,1718.0,2613.0,2812.0,3522.0,3720.0,4454.0,5400.0,7748.0,21927.0
1347,10.34,11.6,20.98,33.13,46.58,49.63,39.19,81.83,186.34,77.69,110.07,142.21,222.94,239.96,303.81,332.88,471.62,500.97,506.06,808.84,1695.0,1719.0,2615.0,2814.0,3524.0,3722.0,4457.0,5403.0,7753.0,21942.0
1346,10.35,11.61,20.99,33.14,46.61,49.66,39.21,81.88,186.45,77.73,110.12,142.28,223.06,240.09,303.97,333.08,471.89,501.34,506.35,809.32,1696.04,1720.0,2616.0,2815.0,3526.0,3725.0,4460.0,5407.0,7759.0,21956.0
1345,10.35,11.61,21.0,33.16,46.63,49.69,39.23,81.92,186.55,77.77,110.18,142.35,223.18,240.21,304.14,333.29,472.17,501.71,506.64,809.8,1697.08,1721.0,2618.0,2817.0,3529.0,3727.0,4463.0,5411.0,7765.0,21971.0
1344,10.36,11.62,21.01,33.18,46.66,49.72,39.25,81.97,186.66,77.81,110.23,142.42,223.3,240.34,304.3,333.49,472.44,502.09,506.94,810.28,1698.13,1722.0,2620.0,2819.0,3531.0,3729.0,4466.0,5414.0,7770.0,21985.0
1343,10.36,11.63,21.02,33.19,46.68,49.75,39.28,82.02,186.77,77.85,110.28,142.49,223.41,240.47,304.47,333.69,472.71,502.46,507.23,810.76,1699.17,1723.0,2621.0,2820.0,3533.0,3731.0,4469.0,5418.0,7776.0,22000.0
