Points,100m,110mH,200m,300m,400m,400mH,4x100m,4x200m,4x400m,600m,800m,1000m,1500m,Mile,2000m,2000m SC,3000m,3000m SC,2 Miles,5000m,10000m,10 km,15 km,10 Miles,20 km,HM,25 km,30 km,Marathon,100 km
1400,9.46,12.28,,29.54,41.97,44.86,35.84,1:15.42,2:47.10,1:09.23,1:37.91,2:05.82,3:19.44,3:35.28,4:34.64,4:50.06,7:05.53,7:30.46,7:38.54,12:10.09,25:15.44,25:22,38:43,41:40,52:15,55:15,1:06:26,1:20:59,1:57:18,5:40:36
1399,,,18.9,29.55,41.98,44.88,35.85,1:15.44,2:47.16,1:09.25,1:37.94,2:05.86,3:19.50,3:35.35,4:34.73,4:50.19,7:05.68,7:30.66,7:38.70,12:10.35,25:16.03,,38:44,41:41,52:16,55:16,1:06:28,1:21:01,1:57:21,5:40:46
1398,,12.29,18.91,29.56,41.99,44.89,35.86,1:15.46,2:47.22,1:09.28,1:37.97,2:05.90,3:19.57,3:35.42,4:34.82,4:50.32,7:05.83,7:30.86,7:38.86,12:10.60,25:16.61,25:23,38:45,41:42,52:17,55:17,1:06:30,1:21:03,1:57:24,5:40:56
1397,,,,29.57,42.00,44.91,35.88,1:15.49,2:47.28,1:09.30,1:38.00,2:05.94,3:19.64,3:35.49,4:34.91,4:50.46,7:05.98,7:31.07,7:39.02,12:10.85,25:17.20,25:24,38:46,41:43,52:19,55:19,1:06:31,1:21:05,1:57:27,5:41:06
1396,9.47,12.3,18.92,29.58,42.02,44.93,35.89,1:15.51,2:47.33,1:09.32,1:38.03,2:05.99,3:19.70,3:35.57,4:35.00,4:50.59,7:06.13,7:31.27,7:39.17,12:11.11,25:17.78,,,41:44,52:20,55:20,1:06:33,1:21:07,1:57:30,5:41:16
1395,,,,29.59,42.03,44.95,35.90,1:15.54,2:47.39,1:09.34,1:38.06,2:06.03,3:19.77,3:35.64,4:35.09,4:50.72,7:06.27,7:31.47,7:39.33,12:11.36,25:18.37,25:25,38:47,41:45,52:21,55:21,1:06:34,1:21:10,1:57:33,5:41:26
1394,,,18.93,29.6,42.04,44.97,35.91,1:15.56,2:47.45,1:09.36,1:38.09,2:06.07,3:19.83,3:35.71,4:35.18,4:50.85,7:06.42,7:31.68,7:39.49,12:11.62,25:18.95,,38:48,41:46,52:22,55:23,1:06:36,1:21:12,1:57:36,5:41:36
1393,,12.31,18.94,29.61,42.06,44.98,35.92,1:15.59,2:47.51,1:09.39,1:38.12,2:06.11,3:19.90,3:35.78,4:35.27,4:50.99,7:06.57,7:31.88,7:39.65,12:11.87,25:19.54,25:26,38:49,41:47,52:24,55:24,1:06:38,1:21:14,1:57:39,5:41:46
1392,9.48,,,29.62,42.07,45.00,35.94,1:15.61,2:47.57,1:09.41,1:38.15,2:06.15,3:19.97,3:35.85,4:35.36,4:51.12,7:06.72,7:32.09,7:39.81,12:12.13,25:20.12,,38:50,41:48,52:25,55:25,1:06:39,1:21:16,1:57:43,5:41:56
1391,,12.32,18.95,,42.08,45.02,35.95,1:15.64,2:47.63,1:09.43,1:38.18,2:06.19,3:20.03,3:35.92,4:35.45,4:51.25,7:06.87,7:32.29,7:39.97,12:12.38,25:20.71,25:27,38:51,41:49,52:26,55:27,1:06:41,1:21:18,1:57:46,5:42:06
