2000m SC,3000m,3000m SC,2 Miles,5000m,10000m,Points
4:50.06,7:05.53,7:30.46,7:38.54,12:10.09,25:15.44,1400
4:50.19,7:05.68,7:30.66,7:38.70,12:10.35,25:16.03,1399
4:50.32,7:05.83,7:30.86,7:38.86,12:10.60,25:16.61,1398
4:50.46,7:05.98,7:31.07,7:39.02,12:10.85,25:17.20,1397
4:50.59,7:06.13,7:31.27,7:39.17,12:11.11,25:17.78,1396
4:50.72,7:06.27,7:31.47,7:39.33,12:11.36,25:18.37,1395
4:50.85,7:06.42,7:31.68,7:39.49,12:11.62,25:18.95,1394
4:50.99,7:06.57,7:31.88,7:39.65,12:11.87,25:19.54,1393
4:51.12,7:06.72,7:32.09,7:39.81,12:12.13,25:20.12,1392
4:51.25,7:06.87,7:32.29,7:39.97,12:12.38,25:20.71,1391
4:51.38,7:07.02,7:32.49,7:40.13,12:12.63,25:21.29,1390
4:51.52,7:07.16,7:32.70,7:40.29,12:12.89,25:21.88,1389
4:51.65,7:07.31,7:32.90,7:40.45,12:13.14,25:22.46,1388
4:51.78,7:07.46,7:33.11,7:40.61,12:13.40,25:23.05,1387
4:51.91,7:07.61,7:33.31,7:40.77,12:13.65,25:23.64,1386
4:52.05,7:07.76,7:33.52,7:40.93,12:13.91,25:24.22,1385
4:52.18,7:07.91,7:33.72,7:41.09,12:14.16,25:24.81,1384
4:52.31,7:08.06,7:33.92,7:41.25,12:14.42,25:25.40,1383
4:52.45,7:08.21,7:34.13,7:41.41,12:14.67,25:25.99,1382
4:52.58,7:08.35,7:34.33,7:41.58,12:14.93,25:26.57,1381
4:52.71,7:08.50,7:34.54,7:41.74,12:15.18,25:27.16,1380
4:52.84,7:08.65,7:34.74,7:41.90,12:15.44,25:27.75,1379
4:52.98,7:08.80,7:34.95,7:42.06,12:15.69,25:28.34,1378
4:53.11,7:08.95,7:35.15,7:42.22,12:15.95,25:28.93,1377
4:53.24,7:09.10,7:35.36,7:42.38,12:16.20,25:29.52,1376
4:53.38,7:09.25,7:35.56,7:42.54,12:16.46,25:30.10,1375
4:53.51,7:09.40,7:35.77,7:42.70,12:16.72,25:30.69,1374
4:53.64,7:09.55,7:35.97,7:42.86,12:16.97,25:31.28,1373
4:53.78,7:09.70,7:36.18,7:43.02,12:17.23,25:31.87,1372
4:53.91,7:09.85,7:36.39,7:43.18,12:17.48,25:32.46,1371
4:54.04,7:10.00,7:36.59,7:43.34,12:17.74,25:33.05,1370
4:54.18,7:10.15,7:36.80,7:43.51,12:18.00,25:33.64,1369
4:54.31,7:10.30,7:37.00,7:43.67,12:18.25,25:34.23,1368
4:54.45,7:10.45,7:37.21,7:43.83,12:18.51,25:34.82,1367
4:54.58,7:10.60,7:37.41,7:43.99,12:18.77,25:35.41,1366
4:54.71,7:10.75,7:37.62,7:44.15,12:19.02,25:36.01,1365
4:54.85,7:10.90,7:37.83,7:44.31,12:19.28,25:36.60,1364
4:54.98,7:11.05,7:38.03,7:44.47,12:19.54,25:37.19,1363
4:55.11,7:11.20,7:38.24,7:44.63,12:19.79,25:37.78,1362
4:55.25,7:11.35,7:38.45,7:44.80,12:20.05,25:38.37,1361
4:55.38,7:11.50,7:38.65,7:44.96,12:20.31,25:38.96,1360
4:55.52,7:11.65,7:38.86,7:45.12,12:20.57,25:39.56,1359
4:55.65,7:11.80,7:39.06,7:45.28,12:20.82,25:40.15,1358
4:55.78,7:11.95,7:39.27,7:45.44,12:21.08,25:40.74,1357
4:55.92,7:12.10,7:39.48,7:45.61,12:21.34,25:41.34,1356
4:56.05,7:12.25,7:39.68,7:45.77,12:21.60,25:41.93,1355
4:56.19,7:12.40,7:39.89,7:45.93,12:21.85,25:42.52,1354
4:56.32,7:12.55,7:40.10,7:46.09,12:22.11,25:43.12,1353
4:56.46,7:12.70,7:40.30,7:46.25,12:22.37,25:43.71,1352
4:56.59,7:12.85,7:40.51,7:46.42,12:22.63,25:44.30,1351
4:56.73,7:13.00,7:40.72,7:46.58,12:22.89,25:44.90,1350
4:56.86,7:13.15,7:40.93,7:46.74,12:23.14,25:45.49,1349
4:56.99,7:13.30,7:41.13,7:46.90,12:23.40,25:46.09,1348
4:57.13,7:13.45,7:41.34,7:47.07,12:23.66,25:46.68,1347
4:57.26,7:13.60,7:41.55,7:47.23,12:23.92,25:47.28,1346
4:57.40,7:13.76,7:41.76,7:47.39,12:24.18,25:47.87,1345
4:57.53,7:13.91,7:41.96,7:47.55,12:24.44,25:48.47,1344
4:57.67,7:14.06,7:42.17,7:47.72,12:24.70,25:49.06,1343
4:57.80,7:14.21,7:42.38,7:47.88,12:24.95,25:49.66,1342
4:57.94,7:14.36,7:42.59,7:48.04,12:25.21,25:50.26,1341
4:58.07,7:14.51,7:42.79,7:48.20,12:25.47,25:50.85,1340
4:58.21,7:14.66,7:43.00,7:48.37,12:25.73,25:51.45,1339
4:58.34,7:14.81,7:43.21,7:48.53,12:25.99,25:52.05,1338
4:58.48,7:14.97,7:43.42,7:48.69,12:26.25,25:52.65,1337
4:58.61,7:15.12,7:43.63,7:48.86,12:26.51,25:53.24,1336
4:58.75,7:15.27,7:43.83,7:49.02,12:26.77,25:53.84,1335
4:58.88,7:15.42,7:44.04,7:49.18,12:27.03,25:54.44,1334
4:59.02,7:15.57,7:44.25,7:49.35,12:27.29,25:55.04,1333
4:59.16,7:15.72,7:44.46,7:49.51,12:27.55,25:55.63,1332
4:59.29,7:15.88,7:44.67,7:49.67,12:27.81,25:56.23,1331
4:59.43,7:16.03,7:44.88,7:49.84,12:28.07,25:56.83,1330
4:59.56,7:16.18,7:45.09,7:50.00,12:28.33,25:57.43,1329
4:59.70,7:16.33,7:45.29,7:50.16,12:28.59,25:58.03,1328
4:59.83,7:16.48,7:45.50,7:50.33,12:28.85,25:58.63,1327
4:59.97,7:16.63,7:45.71,7:50.49,12:29.11,25:59.23,1326
5:00.10,7:16.79,7:45.92,7:50.65,12:29.37,25:59.83,1325
5:00.24,7:16.94,7:46.13,7:50.82,12:29.63,26:00.43,1324
5:00.38,7:17.09,7:46.34,7:50.98,12:29.89,26:01.03,1323
5:00.51,7:17.24,7:46.55,7:51.15,12:30.15,26:01.63,1322
5:00.65,7:17.40,7:46.76,7:51.31,12:30.41,26:02.23,1321
5:00.78,7:17.55,7:46.97,7:51.47,12:30.68,26:02.83,1320
5:00.92,7:17.70,7:47.18,7:51.64,12:30.94,26:03.43,1319
5:01.06,7:17.85,7:47.39,7:51.80,12:31.20,26:04.04,1318
5:01.19,7:18.01,7:47.60,7:51.97,12:31.46,26:04.64,1317
5:01.33,7:18.16,7:47.81,7:52.13,12:31.72,26:05.24,1316
5:01.47,7:18.31,7:48.02,7:52.30,12:31.98,26:05.84,1315
5:01.60,7:18.46,7:48.23,7:52.46,12:32.24,26:06.44,1314
5:01.74,7:18.62,7:48.44,7:52.62,12:32.51,26:07.05,1313
5:01.87,7:18.77,7:48.65,7:52.79,12:32.77,26:07.65,1312
5:02.01,7:18.92,7:48.86,7:52.95,12:33.03,26:08.25,1311
5:02.15,7:19.08,7:49.07,7:53.12,12:33.29,26:08.86,1310
5:02.28,7:19.23,7:49.28,7:53.28,12:33.55,26:09.46,1309
5:02.42,7:19.38,7:49.49,7:53.45,12:33.82,26:10.06,1308
5:02.56,7:19.54,7:49.70,7:53.61,12:34.08,26:10.67,1307
5:02.69,7:19.69,7:49.91,7:53.78,12:34.34,26:11.27,1306
5:02.83,7:19.84,7:50.12,7:53.94,12:34.60,26:11.88,1305
5:02.97,7:20.00,7:50.33,7:54.11,12:34.87,26:12.48,1304
5:03.10,7:20.15,7:50.54,7:54.27,12:35.13,26:13.09,1303
5:03.24,7:20.30,7:50.75,7:54.44,12:35.39,26:13.69,1302
5:03.38,7:20.46,7:50.96,7:54.60,12:35.65,26:14.30,1301
5:03.52,7:20.61,7:51.17,7:54.77,12:35.92,26:14.90,1300
5:03.65,7:20.76,7:51.38,7:54.94,12:36.18,26:15.51,1299
5:03.79,7:20.92,7:51.60,7:55.10,12:36.44,26:16.11,1298
5:03.93,7:21.07,7:51.81,7:55.27,12:36.71,26:16.72,1297
5:04.06,7:21.22,7:52.02,7:55.43,12:36.97,26:17.33,1296
5:04.20,7:21.38,7:52.23,7:55.60,12:37.23,26:17.93,1295
5:04.34,7:21.53,7:52.44,7:55.76,12:37.50,26:18.54,1294
5:04.48,7:21.69,7:52.65,7:55.93,12:37.76,26:19.15,1293
5:04.61,7:21.84,7:52.86,7:56.09,12:38.03,26:19.76,1292
5:04.75,7:21.99,7:53.08,7:56.26,12:38.29,26:20.36,1291
5:04.89,7:22.15,7:53.29,7:56.43,12:38.55,26:20.97,1290
5:05.03,7:22.30,7:53.50,7:56.59,12:38.82,26:21.58,1289
5:05.17,7:22.46,7:53.71,7:56.76,12:39.08,26:22.19,1288
