600m,800m,1000m,1500m,Mile,2000m,Points
1:09.23,1:37.91,2:05.82,3:19.44,3:35.28,4:34.64,1400
1:09.25,1:37.94,2:05.86,3:19.50,3:35.35,4:34.73,1399
1:09.28,1:37.97,2:05.90,3:19.57,3:35.42,4:34.82,1398
1:09.30,1:38.00,2:05.94,3:19.64,3:35.49,4:34.91,1397
1:09.32,1:38.03,2:05.99,3:19.70,3:35.57,4:35.00,1396
1:09.34,1:38.06,2:06.03,3:19.77,3:35.64,4:35.09,1395
1:09.36,1:38.09,2:06.07,3:19.83,3:35.71,4:35.18,1394
1:09.39,1:38.12,2:06.11,3:19.90,3:35.78,4:35.27,1393
1:09.41,1:38.15,2:06.15,3:19.97,3:35.85,4:35.36,1392
1:09.43,1:38.18,2:06.19,3:20.03,3:35.92,4:35.45,1391
1:09.45,1:38.21,2:06.23,3:20.10,3:35.99,4:35.54,1390
1:09.47,1:38.24,2:06.27,3:20.17,3:36.07,4:35.63,1389
1:09.50,1:38.27,2:06.31,3:20.23,3:36.14,4:35.72,1388
1:09.52,1:38.30,2:06.35,3:20.30,3:36.21,4:35.82,1387
1:09.54,1:38.33,2:06.39,3:20.37,3:36.28,4:35.91,1386
1:09.56,1:38.36,2:06.44,3:20.43,3:36.35,4:36.00,1385
1:09.59,1:38.39,2:06.48,3:20.50,3:36.42,4:36.09,1384
1:09.61,1:38.42,2:06.52,3:20.57,3:36.50,4:36.18,1383
1:09.63,1:38.45,2:06.56,3:20.63,3:36.57,4:36.27,1382
1:09.65,1:38.48,2:06.60,3:20.70,3:36.64,4:36.36,1381
1:09.67,1:38.51,2:06.64,3:20.77,3:36.71,4:36.45,1380
1:09.70,1:38.54,2:06.68,3:20.83,3:36.78,4:36.54,1379
1:09.72,1:38.57,2:06.72,3:20.90,3:36.86,4:36.63,1378
1:09.74,1:38.60,2:06.76,3:20.97,3:36.93,4:36.73,1377
1:09.76,1:38.63,2:06.81,3:21.03,3:37.00,4:36.82,1376
1:09.79,1:38.66,2:06.85,3:21.10,3:37.07,4:36.91,1375
1:09.81,1:38.69,2:06.89,3:21.17,3:37.14,4:37.00,1374
1:09.83,1:38.72,2:06.93,3:21.23,3:37.22,4:37.09,1373
1:09.85,1:38.75,2:06.97,3:21.30,3:37.29,4:37.18,1372
1:09.87,1:38.78,2:07.01,3:21.37,3:37.36,4:37.27,1371
1:09.90,1:38.81,2:07.05,3:21.44,3:37.43,4:37.37,1370
1:09.92,1:38.84,2:07.09,3:21.50,3:37.50,4:37.46,1369
1:09.94,1:38.87,2:07.13,3:21.57,3:37.58,4:37.55,1368
1:09.96,1:38.90,2:07.18,3:21.64,3:37.65,4:37.64,1367
1:09.99,1:38.93,2:07.22,3:21.70,3:37.72,4:37.73,1366
1:10.01,1:38.97,2:07.26,3:21.77,3:37.79,4:37.82,1365
1:10.03,1:39.00,2:07.30,3:21.84,3:37.86,4:37.91,1364
1:10.05,1:39.03,2:07.34,3:21.91,3:37.94,4:38.01,1363
1:10.08,1:39.06,2:07.38,3:21.97,3:38.01,4:38.10,1362
1:10.10,1:39.09,2:07.42,3:22.04,3:38.08,4:38.19,1361
1:10.12,1:39.12,2:07.47,3:22.11,3:38.15,4:38.28,1360
1:10.14,1:39.15,2:07.51,3:22.17,3:38.23,4:38.37,1359
1:10.17,1:39.18,2:07.55,3:22.24,3:38.30,4:38.47,1358
1:10.19,1:39.21,2:07.59,3:22.31,3:38.37,4:38.56,1357
1:10.21,1:39.24,2:07.63,3:22.38,3:38.44,4:38.65,1356
1:10.23,1:39.27,2:07.67,3:22.44,3:38.52,4:38.74,1355
1:10.25,1:39.30,2:07.71,3:22.51,3:38.59,4:38.83,1354
1:10.28,1:39.33,2:07.76,3:22.58,3:38.66,4:38.93,1353
1:10.30,1:39.36,2:07.80,3:22.65,3:38.73,4:39.02,1352
1:10.32,1:39.39,2:07.84,3:22.71,3:38.81,4:39.11,1351
1:10.34,1:39.42,2:07.88,3:22.78,3:38.88,4:39.20,1350
1:10.37,1:39.45,2:07.92,3:22.85,3:38.95,4:39.29,1349
1:10.39,1:39.48,2:07.96,3:22.92,3:39.02,4:39.39,1348
1:10.41,1:39.51,2:08.00,3:22.98,3:39.10,4:39.48,1347
1:10.43,1:39.55,2:08.05,3:23.05,3:39.17,4:39.57,1346
1:10.46,1:39.58,2:08.09,3:23.12,3:39.24,4:39.66,1345
1:10.48,1:39.61,2:08.13,3:23.19,3:39.32,4:39.75,1344
1:10.50,1:39.64,2:08.17,3:23.25,3:39.39,4:39.85,1343
1:10.52,1:39.67,2:08.21,3:23.32,3:39.46,4:39.94,1342
1:10.55,1:39.70,2:08.25,3:23.39,3:39.53,4:40.03,1341
1:10.57,1:39.73,2:08.30,3:23.46,3:39.61,4:40.12,1340
1:10.59,1:39.76,2:08.34,3:23.52,3:39.68,4:40.22,1339
1:10.61,1:39.79,2:08.38,3:23.59,3:39.75,4:40.31,1338
1:10.64,1:39.82,2:08.42,3:23.66,3:39.83,4:40.40,1337
1:10.66,1:39.85,2:08.46,3:23.73,3:39.90,4:40.49,1336
1:10.68,1:39.88,2:08.50,3:23.80,3:39.97,4:40.59,1335
1:10.71,1:39.91,2:08.55,3:23.86,3:40.04,4:40.68,1334
1:10.73,1:39.94,2:08.59,3:23.93,3:40.12,4:40.77,1333
1:10.75,1:39.98,2:08.63,3:24.00,3:40.19,4:40.87,1332
1:10.77,1:40.01,2:08.67,3:24.07,3:40.26,4:40.96,1331
1:10.80,1:40.04,2:08.71,3:24.14,3:40.34,4:41.05,1330
1:10.82,1:40.07,2:08.76,3:24.20,3:40.41,4:41.14,1329
1:10.84,1:40.10,2:08.80,3:24.27,3:40.48,4:41.24,1328
1:10.86,1:40.13,2:08.84,3:24.34,3:40.56,4:41.33,1327
1:10.89,1:40.16,2:08.88,3:24.41,3:40.63,4:41.42,1326
1:10.91,1:40.19,2:08.92,3:24.48,3:40.70,4:41.52,1325
1:10.93,1:40.22,2:08.96,3:24.54,3:40.78,4:41.61,1324
1:10.95,1:40.25,2:09.01,3:24.61,3:40.85,4:41.70,1323
1:10.98,1:40.28,2:09.05,3:24.68,3:40.92,4:41.80,1322
1:11.00,1:40.31,2:09.09,3:24.75,3:41.00,4:41.89,1321
1:11.02,1:40.35,2:09.13,3:24.82,3:41.07,4:41.98,1320
1:11.04,1:40.38,2:09.17,3:24.88,3:41.14,4:42.07,1319
1:11.07,1:40.41,2:09.22,3:24.95,3:41.22,4:42.17,1318
1:11.09,1:40.44,2:09.26,3:25.02,3:41.29,4:42.26,1317
1:11.11,1:40.47,2:09.30,3:25.09,3:41.36,4:42.35,1316
1:11.14,1:40.50,2:09.34,3:25.16,3:41.44,4:42.45,1315
1:11.16,1:40.53,2:09.38,3:25.23,3:41.51,4:42.54,1314
1:11.18,1:40.56,2:09.43,3:25.29,3:41.59,4:42.63,1313
1:11.20,1:40.59,2:09.47,3:25.36,3:41.66,4:42.73,1312
1:11.23,1:40.62,2:09.51,3:25.43,3:41.73,4:42.82,1311
1:11.25,1:40.66,2:09.55,3:25.50,3:41.81,4:42.92,1310
1:11.27,1:40.69,2:09.60,3:25.57,3:41.88,4:43.01,1309
1:11.30,1:40.72,2:09.64,3:25.64,3:41.95,4:43.10,1308
1:11.32,1:40.75,2:09.68,3:25.71,3:42.03,4:43.20,1307
1:11.34,1:40.78,2:09.72,3:25.77,3:42.10,4:43.29,1306
1:11.36,1:40.81,2:09.76,3:25.84,3:42.18,4:43.38,1305
1:11.39,1:40.84,2:09.81,3:25.91,3:42.25,4:43.48,1304
1:11.41,1:40.87,2:09.85,3:25.98,3:42.32,4:43.57,1303
1:11.43,1:40.90,2:09.89,3:26.05,3:42.40,4:43.66,1302
1:11.46,1:40.94,2:09.93,3:26.12,3:42.47,4:43.76,1301
1:11.48,1:40.97,2:09.98,3:26.19,3:42.54,4:43.85,1300
1:11.50,1:41.00,2:10.02,3:26.26,3:42.62,4:43.95,1299
1:11.52,1:41.03,2:10.06,3:26.32,3:42.69,4:44.04,1298
1:11.55,1:41.06,2:10.10,3:26.39,3:42.77,4:44.13,1297
1:11.57,1:41.09,2:10.14,3:26.46,3:42.84,4:44.23,1296
1:11.59,1:41.12,2:10.19,3:26.53,3:42.92,4:44.32,1295
1:11.62,1:41.15,2:10.23,3:26.60,3:42.99,4:44.42,1294
1:11.64,1:41.18,2:10.27,3:26.67,3:43.06,4:44.51,1293
1:11.66,1:41.22,2:10.31,3:26.74,3:43.14,4:44.60,1292
1:11.68,1:41.25,2:10.36,3:26.81,3:43.21,4:44.70,1291
1:11.71,1:41.28,2:10.40,3:26.88,3:43.29,4:44.79,1290
1:11.73,1:41.31,2:10.44,3:26.94,3:43.36,4:44.89,1289
1:11.75,1:41.34,2:10.48,3:27.01,3:43.44,4:44.98,1288
1:11.78,1:41.37,2:10.53,3:27.08,3:43.51,4:45.08,1287
1:11.80,1:41.40,2:10.57,3:27.15,3:43.58,4:45.17,1286
1:11.82,1:41.44,2:10.61,3:27.22,3:43.66,4:45.26,1285
1:11.85,1:41.47,2:10.65,3:27.29,3:43.73,4:45.36,1284
1:11.87,1:41.50,2:10.70,3:27.36,3:43.81,4:45.45,1283
1:11.89,1:41.53,2:10.74,3:27.43,3:43.88,4:45.55,1282
1:11.91,1:41.56,2:10.78,3:27.50,3:43.96,4:45.64,1281
1:11.94,1:41.59,2:10.83,3:27.57,3:44.03,4:45.74,1280
1:11.96,1:41.62,2:10.87,3:27.64,3:44.11,4:45.83,1279
1:11.98,1:41.65,2:10.91,3:27.71,3:44.18,4:45.93,1278
