10 km,15 km,10 Miles,20 km,HM,25 km,30 km,Marathon,100 km,Points
25:22,38:43,41:40,52:15,55:15,1:06:26,1:20:59,1:57:18,5:40:36,1400
,38:44,41:41,52:16,55:16,1:06:28,1:21:01,1:57:21,5:40:46,1399
25:23,38:45,41:42,52:17,55:17,1:06:30,1:21:03,1:57:24,5:40:56,1398
25:24,38:46,41:43,52:19,55:19,1:06:31,1:21:05,1:57:27,5:41:06,1397
,,41:44,52:20,55:20,1:06:33,1:21:07,1:57:30,5:41:16,1396
25:25,38:47,41:45,52:21,55:21,1:06:34,1:21:10,1:57:33,5:41:26,1395
,38:48,41:46,52:22,55:23,1:06:36,1:21:12,1:57:36,5:41:36,1394
25:26,38:49,41:47,52:24,55:24,1:06:38,1:21:14,1:57:39,5:41:46,1393
,38:50,41:48,52:25,55:25,1:06:39,1:21:16,1:57:43,5:41:56,1392
25:27,38:51,41:49,52:26,55:27,1:06:41,1:21:18,1:57:46,5:42:06,1391
25:28,38:52,41:50,52:27,55:28,1:06:43,1:21:20,1:57:49,5:42:16,1390
,38:53,41:51,52:29,55:29,1:06:44,1:21:22,1:57:52,5:42:27,1389
25:29,38:54,41:52,52:30,55:31,1:06:46,1:21:24,1:57:55,5:42:37,1388
,38:55,41:53,52:31,55:32,1:06:48,1:21:26,1:57:58,5:42:47,1387
25:30,38:56,41:54,52:32,55:33,1:06:49,1:21:28,1:58:01,5:42:57,1386
25:31,,41:55,52:34,55:35,1:06:51,1:21:30,1:58:04,5:43:07,1385
,38:57,41:56,52:35,55:36,1:06:52,1:21:32,1:58:07,5:43:17,1384
25:32,38:58,41:57,52:36,55:37,1:06:54,1:21:34,1:58:10,5:43:27,1383
,38:59,41:58,52:37,55:39,1:06:56,1:21:36,1:58:13,5:43:37,1382
25:33,39:00,41:59,52:39,55:40,1:06:57,1:21:38,1:58:16,5:43:47,1381
,39:01,42:00,52:40,55:41,1:06:59,1:21:40,1:58:19,5:43:58,1380
25:34,39:02,42:01,52:41,55:43,1:07:01,1:21:42,1:58:23,5:44:08,1379
25:35,39:03,42:02,52:42,55:44,1:07:02,1:21:44,1:58:26,5:44:18,1378
,39:04,42:03,52:44,55:45,1:07:04,1:21:46,1:58:29,5:44:28,1377
25:36,39:05,42:04,52:45,55:47,1:07:06,1:21:48,1:58:32,5:44:38,1376
,39:06,42:05,52:46,55:48,1:07:07,1:21:50,1:58:35,5:44:48,1375
25:37,39:07,42:06,52:47,55:49,1:07:09,1:21:52,1:58:38,5:44:58,1374
25:38,,42:07,52:49,55:51,1:07:10,1:21:54,1:58:41,5:45:09,1373
,39:08,42:08,52:50,55:52,1:07:12,1:21:56,1:58:44,5:45:19,1372
25:39,39:09,42:09,52:51,55:53,1:07:14,1:21:58,1:58:47,5:45:29,1371
,39:10,42:10,52:52,55:55,1:07:15,1:22:00,1:58:50,5:45:39,1370
25:40,39:11,42:11,52:54,55:56,1:07:17,1:22:03,1:58:53,5:45:49,1369
,39:12,42:12,52:55,55:57,1:07:19,1:22:05,1:58:56,5:45:59,1368
25:41,39:13,42:13,52:56,55:59,1:07:20,1:22:07,1:59:00,5:46:10,1367
25:42,39:14,42:14,52:58,56:00,1:07:22,1:22:09,1:59:03,5:46:20,1366
,39:15,42:15,52:59,56:01,1:07:24,1:22:11,1:59:06,5:46:30,1365
25:43,39:16,42:16,53:00,56:03,1:07:25,1:22:13,1:59:09,5:46:40,1364
,39:17,42:17,53:01,56:04,1:07:27,1:22:15,1:59:12,5:46:50,1363
25:44,39:18,42:18,53:03,56:05,1:07:29,1:22:17,1:59:15,5:47:01,1362
25:45,,42:19,53:04,56:07,1:07:30,1:22:19,1:59:18,5:47:11,1361
,39:19,42:20,53:05,56:08,1:07:32,1:22:21,1:59:21,5:47:21,1360
25:46,39:20,42:21,53:06,56:09,1:07:33,1:22:23,1:59:24,5:47:31,1359
,39:21,42:22,53:08,56:11,1:07:35,1:22:25,1:59:27,5:47:41,1358
25:47,39:22,42:23,53:09,56:12,1:07:37,1:22:27,1:59:31,5:47:52,1357
25:48,39:23,42:24,53:10,56:13,1:07:38,1:22:29,1:59:34,5:48:02,1356
,39:24,42:25,53:11,56:15,1:07:40,1:22:31,1:59:37,5:48:12,1355
25:49,39:25,42:26,53:13,56:16,1:07:42,1:22:33,1:59:40,5:48:22,1354
,39:26,42:27,53:14,56:17,1:07:43,1:22:35,1:59:43,5:48:32,1353
25:50,39:27,42:28,53:15,56:19,1:07:45,1:22:37,1:59:46,5:48:43,1352
25:51,39:28,42:29,53:17,56:20,1:07:47,1:22:39,1:59:49,5:48:53,1351
,39:29,42:30,53:18,56:21,1:07:48,1:22:42,1:59:52,5:49:03,1350
25:52,39:30,42:31,53:19,56:23,1:07:50,1:22:44,1:59:55,5:49:13,1349
,39:31,42:32,53:20,56:24,1:07:52,1:22:46,1:59:59,5:49:24,1348
25:53,,42:33,53:22,56:26,1:07:53,1:22:48,2:00:02,5:49:34,1347
,39:32,42:34,53:23,56:27,1:07:55,1:22:50,2:00:05,5:49:44,1346
25:54,39:33,42:35,53:24,56:28,1:07:57,1:22:52,2:00:08,5:49:54,1345
25:55,39:34,42:36,53:25,56:30,1:07:58,1:22:54,2:00:11,5:50:05,1344
,39:35,42:37,53:27,56:31,1:08:00,1:22:56,2:00:14,5:50:15,1343
25:56,39:36,42:38,53:28,56:32,1:08:02,1:22:58,2:00:17,5:50:25,1342
,39:37,42:39,53:29,56:34,1:08:03,1:23:00,2:00:20,5:50:36,1341
25:57,39:38,42:40,53:31,56:35,1:08:05,1:23:02,2:00:24,5:50:46,1340
25:58,39:39,42:41,53:32,56:36,1:08:07,1:23:04,2:00:27,5:50:56,1339
,39:40,42:42,53:33,56:38,1:08:08,1:23:06,2:00:30,5:51:06,1338
25:59,39:41,42:43,53:34,56:39,1:08:10,1:23:08,2:00:33,5:51:17,1337
,39:42,42:44,53:36,56:40,1:08:12,1:23:11,2:00:36,5:51:27,1336
26:00,39:43,42:45,53:37,56:42,1:08:13,1:23:13,2:00:39,5:51:37,1335
26:01,39:44,42:46,53:38,56:43,1:08:15,1:23:15,2:00:42,5:51:48,1334
,,42:47,53:39,56:44,1:08:17,1:23:17,2:00:45,5:51:58,1333
26:02,39:45,42:48,53:41,56:46,1:08:18,1:23:19,2:00:49,5:52:08,1332
,39:46,42:49,53:42,56:47,1:08:20,1:23:21,2:00:52,5:52:18,1331
26:03,39:47,42:50,53:43,56:49,1:08:22,1:23:23,2:00:55,5:52:29,1330
26:04,39:48,42:51,53:45,56:50,1:08:23,1:23:25,2:00:58,5:52:39,1329
,39:49,42:52,53:46,56:51,1:08:25,1:23:27,2:01:01,5:52:49,1328
26:05,39:50,42:53,53:47,56:53,1:08:27,1:23:29,2:01:04,5:53:00,1327
,39:51,42:54,53:48,56:54,1:08:28,1:23:31,2:01:07,5:53:10,1326
26:06,39:52,42:55,53:50,56:55,1:08:30,1:23:33,2:01:11,5:53:20,1325
26:07,39:53,42:56,53:51,56:57,1:08:32,1:23:35,2:01:14,5:53:31,1324
,39:54,42:57,53:52,56:58,1:08:33,1:23:38,2:01:17,5:53:41,1323
26:08,39:55,42:58,53:54,56:59,1:08:35,1:23:40,2:01:20,5:53:51,1322
,39:56,42:59,53:55,57:01,1:08:37,1:23:42,2:01:23,5:54:02,1321
26:09,39:57,43:00,53:56,57:02,1:08:38,1:23:44,2:01:26,5:54:12,1320
26:10,39:58,43:01,53:57,57:03,1:08:40,1:23:46,2:01:29,5:54:23,1319
,,43:02,53:59,57:05,1:08:42,1:23:48,2:01:33,5:54:33,1318
26:11,39:59,43:03,54:00,57:06,1:08:43,1:23:50,2:01:36,5:54:43,1317
,40:00,43:04,54:01,57:08,1:08:45,1:23:52,2:01:39,5:54:54,1316
26:12,40:01,43:05,54:03,57:09,1:08:47,1:23:54,2:01:42,5:55:04,1315
26:13,40:02,43:06,54:04,57:10,1:08:48,1:23:56,2:01:45,5:55:14,1314
,40:03,43:07,54:05,57:12,1:08:50,1:23:58,2:01:48,5:55:25,1313
26:14,40:04,43:08,54:06,57:13,1:08:52,1:24:00,2:01:51,5:55:35,1312
,40:05,43:09,54:08,57:14,1:08:53,1:24:03,2:01:55,5:55:46,1311
26:15,40:06,43:10,54:09,57:16,1:08:55,1:24:05,2:01:58,5:55:56,1310
26:16,40:07,43:11,54:10,57:17,1:08:57,1:24:07,2:02:01,5:56:06,1309
,40:08,43:12,54:12,57:19,1:08:58,1:24:09,2:02:04,5:56:17,1308
26:17,40:09,43:13,54:13,57:20,1:09:00,1:24:11,2:02:07,5:56:27,1307
,40:10,43:14,54:14,57:21,1:09:02,1:24:13,2:02:10,5:56:38,1306
26:18,40:11,43:15,54:15,57:23,1:09:03,1:24:15,2:02:14,5:56:48,1305
26:19,40:12,43:16,54:17,57:24,1:09:05,1:24:17,2:02:17,5:56:58,1304
,40:13,43:17,54:18,57:25,1:09:07,1:24:19,2:02:20,5:57:09,1303
26:20,,43:18,54:19,57:27,1:09:08,1:24:21,2:02:23,5:57:19,1302
,40:14,43:19,54:21,57:28,1:09:10,1:24:24,2:02:26,5:57:30,1301
26:21,40:15,43:20,54:22,57:29,1:09:12,1:24:26,2:02:29,5:57:40,1300
26:22,40:16,43:21,54:23,57:31,1:09:14,1:24:28,2:02:33,5:57:51,1299
,40:17,43:22,54:25,57:32,1:09:15,1:24:30,2:02:36,5:58:01,1298
26:23,40:18,43:23,54:26,57:34,1:09:17,1:24:32,2:02:39,5:58:11,1297
,40:19,43:24,54:27,57:35,1:09:19,1:24:34,2:02:42,5:58:22,1296
26:24,40:20,43:25,54:28,57:36,1:09:20,1:24:36,2:02:45,5:58:32,1295
