100m,110mH,200m,300m,400m,400mH,4x100m,4x200m,4x400m,Points
9.46,12.28,,29.54,41.97,44.86,35.84,1:15.42,2:47.10,1400
,,18.90,29.55,41.98,44.88,35.85,1:15.44,2:47.16,1399
,12.29,18.91,29.56,41.99,44.89,35.86,1:15.46,2:47.22,1398
,,,29.57,42.00,44.91,35.88,1:15.49,2:47.28,1397
9.47,12.30,18.92,29.58,42.02,44.93,35.89,1:15.51,2:47.33,1396
,,,29.59,42.03,44.95,35.90,1:15.54,2:47.39,1395
,,18.93,29.60,42.04,44.97,35.91,1:15.56,2:47.45,1394
,12.31,18.94,29.61,42.06,44.98,35.92,1:15.59,2:47.51,1393
9.48,,,29.62,42.07,45.00,35.94,1:15.61,2:47.57,1392
,12.32,18.95,,42.08,45.02,35.95,1:15.64,2:47.63,1391
,,,29.63,42.10,45.04,35.96,1:15.66,2:47.69,1390
9.49,12.33,18.96,29.64,42.11,45.06,35.97,1:15.69,2:47.75,1389
,,18.97,29.65,42.12,45.08,35.98,1:15.71,2:47.81,1388
,12.34,,29.66,42.14,45.09,36.00,1:15.73,2:47.87,1387
,,18.98,29.67,42.15,45.11,36.01,1:15.76,2:47.93,1386
9.50,12.35,,29.68,42.16,45.13,36.02,1:15.78,2:47.99,1385
,,18.99,29.69,42.18,45.15,36.03,1:15.81,2:48.05,1384
,12.36,19.00,29.70,42.19,45.17,36.04,1:15.83,2:48.11,1383
,,,29.71,42.20,45.18,36.06,1:15.86,2:48.17,1382
9.51,12.37,19.01,29.72,42.22,45.20,36.07,1:15.88,2:48.23,1381
,,,29.73,42.23,45.22,36.08,1:15.91,2:48.29,1380
,12.38,19.02,29.74,42.24,45.24,36.09,1:15.93,2:48.35,1379
9.52,,19.03,29.75,42.26,45.26,36.11,1:15.96,2:48.41,1378
,12.39,,29.76,42.27,45.28,36.12,1:15.98,2:48.47,1377
,,19.04,29.77,42.28,45.29,36.13,1:16.01,2:48.53,1376
,12.40,,29.78,42.30,45.31,36.14,1:16.03,2:48.59,1375
9.53,,19.05,29.79,42.31,45.33,36.15,1:16.05,2:48.65,1374
,12.41,,29.80,42.32,45.35,36.17,1:16.08,2:48.71,1373
,,19.06,29.81,42.34,45.37,36.18,1:16.10,2:48.77,1372
,12.42,19.07,29.82,42.35,45.39,36.19,1:16.13,2:48.83,1371
9.54,,,29.83,42.36,45.40,36.20,1:16.15,2:48.89,1370
,12.43,19.08,29.84,42.38,45.42,36.21,1:16.18,2:48.95,1369
,,,29.85,42.39,45.44,36.23,1:16.20,2:49.01,1368
9.55,12.44,19.09,29.86,42.40,45.46,36.24,1:16.23,2:49.08,1367
,,19.10,29.87,42.42,45.48,36.25,1:16.25,2:49.14,1366
,12.45,,29.88,42.43,45.49,36.26,1:16.28,2:49.20,1365
,,19.11,29.89,42.44,45.51,36.28,1:16.30,2:49.26,1364
9.56,12.46,,29.90,42.46,45.53,36.29,1:16.33,2:49.32,1363
,,19.12,29.91,42.47,45.55,36.30,1:16.35,2:49.38,1362
,12.47,19.13,29.92,42.48,45.57,36.31,1:16.38,2:49.44,1361
,,,29.93,42.50,45.59,36.32,1:16.40,2:49.50,1360
9.57,12.48,19.14,29.94,42.51,45.61,36.34,1:16.43,2:49.56,1359
,,,29.95,42.52,45.62,36.35,1:16.45,2:49.62,1358
,12.49,19.15,29.96,42.54,45.64,36.36,1:16.48,2:49.68,1357
9.58,,19.16,29.97,42.55,45.66,36.37,1:16.50,2:49.74,1356
,,,29.98,42.57,45.68,36.38,1:16.53,2:49.80,1355
,12.50,19.17,29.99,42.58,45.70,36.40,1:16.55,2:49.86,1354
,,19.18,30.00,42.59,45.72,36.41,1:16.58,2:49.92,1353
9.59,12.51,,30.01,42.61,45.73,36.42,1:16.60,2:49.98,1352
,,19.19,30.02,42.62,45.75,36.43,1:16.63,2:50.04,1351
,12.52,,30.03,42.63,45.77,36.45,1:16.65,2:50.10,1350
,,19.20,30.04,42.65,45.79,36.46,1:16.68,2:50.16,1349
9.60,12.53,19.21,30.05,42.66,45.81,36.47,1:16.70,2:50.23,1348
,,,30.06,42.67,45.83,36.48,1:16.73,2:50.29,1347
