Points,100m,110mH,200m,300m,400m,400mH,4x100m,4x200m,4x400m,600m,800m,1000m,1500m,Mile,2000m,2000m SC,3000m,3000m SC,2 Miles,5000m,10000m,10 km,15 km,10 Miles,20 km,HM,25 km,30 km,Marathon,100 km
1400,9.46,12.28,,29.54,41.97,44.86,35.84,75.42,167.1,69.23,97.91,125.82,199.44,215.28,274.64,290.06,425.53,450.46,458.54,730.09,1515.44,1522.0,2323.0,2500.0,3135.0,3315.0,3986.0,4859.0,7038.0,20436.0
1399,9.46,12.28,18.9,29.55,41.98,44.88,35.85,75.44,167.16,69.25,97.94,125.86,199.5,215.35,274.73,290.19,425.68,450.66,458.7,730.35,1516.03,1522.0,2324.0,2501.0,3136.0,3316.0,3988.0,4861.0,7041.0,20446.0
1398,9.46,12.29,18.91,29.56,41.99,44.89,35.86,75.46,167.22,69.28,97.97,125.9,199.57,215.42,274.82,290.32,425.83,450.86,458.86,730.6,1516.61,1523.0,2325.0,2502.0,3137.0,3317.0,3990.0,4863.0,7044.0,20456.0
1397,9.46,12.29,18.91,29.57,42.0,44.91,35.88,75.49,167.28,69.3,98.0,125.94,199.64,215.49,274.91,290.46,425.98,451.07,459.02,730.85,1517.2,1524.0,2326.0,2503.0,3139.0,3319.0,3991.0,4865.0,7047.0,20466.0
1396,9.47,12.3,18.92,29.58,42.02,44.93,35.89,75.51,167.33,69.32,98.03,125.99,199.7,215.57,275.0,290.59,426.13,451.27,459.17,731.11,1517.78,1524.0,2326.0,2504.0,3140.0,3320.0,3993.0,4867.0,7050.0,20476.0
1395,9.47,12.3,18.92,29.59,42.03,44.95,35.9,75.54,167.39,69.34,98.06,126.03,199.77,215.64,275.09,290.72,426.27,451.47,459.33,731.36,1518.37,1525.0,2327.0,2505.0,3141.0,3321.0,3994.0,4870.0,7053.0,20486.0
1394,9.47,12.3,18.93,29.6,42.04,44.97,35.91,75.56,167.45,69.36,98.09,126.07,199.83,215.71,275.18,290.85,426.42,451.68,459.49,731.62,1518.95,1525.0,2328.0,2506.0,3142.0,3323.0,3996.0,4872.0,7056.0,20496.0
1393,9.47,12.31,18.94,29.61,42.06,44.98,35.92,75.59,167.51,69.39,98.12,126.11,199.9,215.78,275.27,290.99,426.57,451.88,459.65,731.87,1519.54,1526.0,2329.0,2507.0,3144.0,3324.0,3998.0,4874.0,7059.0,20506.0
1392,9.48,12.31,18.94,29.62,42.07,45.0,35.94,75.61,167.57,69.41,98.15,126.15,199.97,215.85,275.36,291.12,426.72,452.09,459.81,732.13,1520.12,1526.0,2330.0,2508.0,3145.0,3325.0,3999.0,4876.0,7063.0,20516.0
1391,9.48,12.32,18.95,29.62,42.08,45.02,35.95,75.64,167.63,69.43,98.18,126.19,200.03,215.92,275.45,291.25,426.87,452.29,459.97,732.38,1520.71,1527.0,2331.0,2509.0,3146.0,3327.0,4001.0,4878.0,7066.0,20526.0
1390,9.48,12.32,18.95,29.63,42.1,45.04,35.96,75.66,167.69,69.45,98.21,126.23,200.1,215.99,275.54,291.38,427.02,452.49,460.13,732.63,1521.29,1528.0,2332.0,2510.0,3147.0,3328.0,4003.0,4880.0,7069.0,20536.0
1389,9.49,12.33,18.96,29.64,42.11,45.06,35.97,75.69,167.75,69.47,98.24,126.27,200.17,216.07,275.63,291.52,427.16,452.7,460.29,732.89,1521.88,1528.0,2333.0,2511.0,3149.0,3329.0,4004.0,4882.0,7072.0,20547.0
1388,9.49,12.33,18.97,29.65,42.12,45.08,35.98,75.71,167.81,69.5,98.27,126.31,200.23,216.14,275.72,291.65,427.31,452.9,460.45,733.14,1522.46,1529.0,2334.0,2512.0,3150.0,3331.0,4006.0,4884.0,7075.0,20557.0
1387,9.49,12.34,18.97,29.66,42.14,45.09,36.0,75.73,167.87,69.52,98.3,126.35,200.3,216.21,275.82,291.78,427.46,453.11,460.61,733.4,1523.05,1529.0,2335.0,2513.0,3151.0,3332.0,4008.0,4886.0,7078.0,20567.0
1386,9.49,12.34,18.98,29.67,42.15,45.11,36.01,75.76,167.93,69.54,98.33,126.39,200.37,216.28,275.91,291.91,427.61,453.31,460.77,733.65,1523.64,1530.0,2336.0,2514.0,3152.0,3333.0,4009.0,4888.0,7081.0,20577.0
1385,9.5,12.35,18.98,29.68,42.16,45.13,36.02,75.78,167.99,69.56,98.36,126.44,200.43,216.35,276.0,292.05,427.76,453.52,460.93,733.91,1524.22,1531.0,2336.0,2515.0,3154.0,3335.0,4011.0,4890.0,7084.0,20587.0
