2000m SC,3000m,3000m SC,2 Miles,5000m,10000m,Points
5:22.22,7:37.43,8:01.31,8:10.66,13:03.68,27:20.35,1400
5:22.42,7:37.70,8:01.67,8:10.95,13:04.15,27:21.37,1399
5:22.62,7:37.96,8:02.04,8:11.23,13:04.63,27:22.39,1398
5:22.82,7:38.23,8:02.41,8:11.52,13:05.10,27:23.42,1397
5:23.02,7:38.49,8:02.78,8:11.81,13:05.57,27:24.44,1396
5:23.22,7:38.76,8:03.14,8:12.10,13:06.04,27:25.46,1395
5:23.42,7:39.03,8:03.51,8:12.39,13:06.51,27:26.48,1394
5:23.62,7:39.29,8:03.88,8:12.68,13:06.98,27:27.51,1393
5:23.82,7:39.56,8:04.25,8:12.96,13:07.45,27:28.53,1392
5:24.02,7:39.82,8:04.62,8:13.25,13:07.92,27:29.56,1391
5:24.22,7:40.09,8:04.99,8:13.54,13:08.39,27:30.58,1390
5:24.42,7:40.36,8:05.36,8:13.83,13:08.87,27:31.61,1389
5:24.62,7:40.62,8:05.72,8:14.12,13:09.34,27:32.63,1388
5:24.82,7:40.89,8:06.09,8:14.41,13:09.81,27:33.66,1387
5:25.02,7:41.16,8:06.46,8:14.70,13:10.28,27:34.68,1386
5:25.22,7:41.42,8:06.83,8:14.99,13:10.76,27:35.71,1385
5:25.42,7:41.69,8:07.20,8:15.28,13:11.23,27:36.74,1384
5:25.62,7:41.96,8:07.57,8:15.57,13:11.70,27:37.77,1383
5:25.82,7:42.22,8:07.94,8:15.85,13:12.17,27:38.79,1382
5:26.02,7:42.49,8:08.31,8:16.14,13:12.65,27:39.82,1381
5:26.22,7:42.76,8:08.68,8:16.43,13:13.12,27:40.85,1380
5:26.42,7:43.02,8:09.05,8:16.72,13:13.59,27:41.88,1379
5:26.62,7:43.29,8:09.42,8:17.01,13:14.07,27:42.91,1378
5:26.82,7:43.56,8:09.79,8:17.30,13:14.54,27:43.94,1377
5:27.02,7:43.83,8:10.16,8:17.59,13:15.02,27:44.97,1376
5:27.22,7:44.09,8:10.53,8:17.88,13:15.49,27:46.00,1375
5:27.43,7:44.36,8:10.90,8:18.17,13:15.96,27:47.03,1374
5:27.63,7:44.63,8:11.27,8:18.47,13:16.44,27:48.06,1373
5:27.83,7:44.90,8:11.64,8:18.76,13:16.91,27:49.09,1372
5:28.03,7:45.16,8:12.02,8:19.05,13:17.39,27:50.12,1371
5:28.23,7:45.43,8:12.39,8:19.34,13:17.86,27:51.15,1370
5:28.43,7:45.70,8:12.76,8:19.63,13:18.34,27:52.19,1369
5:28.63,7:45.97,8:13.13,8:19.92,13:18.82,27:53.22,1368
5:28.83,7:46.24,8:13.50,8:20.21,13:19.29,27:54.25,1367
5:29.04,7:46.51,8:13.87,8:20.50,13:19.77,27:55.29,1366
5:29.24,7:46.77,8:14.25,8:20.79,13:20.24,27:56.32,1365
5:29.44,7:47.04,8:14.62,8:21.08,13:20.72,27:57.36,1364
5:29.64,7:47.31,8:14.99,8:21.38,13:21.20,27:58.39,1363
5:29.84,7:47.58,8:15.36,8:21.67,13:21.67,27:59.43,1362
5:30.05,7:47.85,8:15.74,8:21.96,13:22.15,28:00.46,1361
5:30.25,7:48.12,8:16.11,8:22.25,13:22.63,28:01.50,1360
5:30.45,7:48.39,8:16.48,8:22.54,13:23.10,28:02.53,1359
5:30.65,7:48.66,8:16.85,8:22.84,13:23.58,28:03.57,1358
5:30.85,7:48.93,8:17.23,8:23.13,13:24.06,28:04.61,1357
5:31.06,7:49.20,8:17.60,8:23.42,13:24.53,28:05.65,1356
5:31.26,7:49.46,8:17.97,8:23.71,13:25.01,28:06.68,1355
5:31.46,7:49.73,8:18.35,8:24.00,13:25.49,28:07.72,1354
5:31.66,7:50.00,8:18.72,8:24.30,13:25.97,28:08.76,1353
5:31.87,7:50.27,8:19.09,8:24.59,13:26.45,28:09.80,1352
5:32.07,7:50.54,8:19.47,8:24.88,13:26.93,28:10.84,1351
5:32.27,7:50.81,8:19.84,8:25.18,13:27.40,28:11.88,1350
5:32.48,7:51.08,8:20.22,8:25.47,13:27.88,28:12.92,1349
5:32.68,7:51.35,8:20.59,8:25.76,13:28.36,28:13.96,1348
5:32.88,7:51.62,8:20.97,8:26.06,13:28.84,28:15.00,1347
5:33.08,7:51.89,8:21.34,8:26.35,13:29.32,28:16.04,1346
5:33.29,7:52.17,8:21.71,8:26.64,13:29.80,28:17.08,1345
5:33.49,7:52.44,8:22.09,8:26.94,13:30.28,28:18.13,1344
5:33.69,7:52.71,8:22.46,8:27.23,13:30.76,28:19.17,1343
5:33.90,7:52.98,8:22.84,8:27.52,13:31.24,28:20.21,1342
5:34.10,7:53.25,8:23.22,8:27.82,13:31.72,28:21.26,1341
5:34.30,7:53.52,8:23.59,8:28.11,13:32.20,28:22.30,1340
5:34.51,7:53.79,8:23.97,8:28.41,13:32.68,28:23.34,1339
5:34.71,7:54.06,8:24.34,8:28.70,13:33.16,28:24.39,1338
5:34.92,7:54.33,8:24.72,8:28.99,13:33.64,28:25.43,1337
5:35.12,7:54.60,8:25.09,8:29.29,13:34.12,28:26.48,1336
5:35.32,7:54.88,8:25.47,8:29.58,13:34.60,28:27.52,1335
5:35.53,7:55.15,8:25.85,8:29.88,13:35.09,28:28.57,1334
5:35.73,7:55.42,8:26.22,8:30.17,13:35.57,28:29.62,1333
5:35.94,7:55.69,8:26.60,8:30.47,13:36.05,28:30.66,1332
5:36.14,7:55.96,8:26.98,8:30.76,13:36.53,28:31.71,1331
5:36.34,7:56.24,8:27.35,8:31.06,13:37.01,28:32.76,1330
5:36.55,7:56.51,8:27.73,8:31.35,13:37.50,28:33.81,1329
5:36.75,7:56.78,8:28.11,8:31.65,13:37.98,28:34.85,1328
5:36.96,7:57.05,8:28.48,8:31.94,13:38.46,28:35.90,1327
5:37.16,7:57.32,8:28.86,8:32.24,13:38.94,28:36.95,1326
5:37.37,7:57.60,8:29.24,8:32.54,13:39.43,28:38.00,1325
5:37.57,7:57.87,8:29.62,8:32.83,13:39.91,28:39.05,1324
5:37.78,7:58.14,8:30.00,8:33.13,13:40.39,28:40.10,1323
5:37.98,7:58.42,8:30.37,8:33.42,13:40.88,28:41.15,1322
5:38.19,7:58.69,8:30.75,8:33.72,13:41.36,28:42.20,1321
5:38.39,7:58.96,8:31.13,8:34.02,13:41.85,28:43.26,1320
5:38.60,7:59.23,8:31.51,8:34.31,13:42.33,28:44.31,1319
5:38.80,7:59.51,8:31.89,8:34.61,13:42.82,28:45.36,1318
5:39.01,7:59.78,8:32.27,8:34.91,13:43.30,28:46.41,1317
5:39.21,8:00.05,8:32.64,8:35.20,13:43.78,28:47.47,1316
5:39.42,8:00.33,8:33.02,8:35.50,13:44.27,28:48.52,1315
5:39.62,8:00.60,8:33.40,8:35.80,13:44.75,28:49.57,1314
5:39.83,8:00.88,8:33.78,8:36.09,13:45.24,28:50.63,1313
5:40.04,8:01.15,8:34.16,8:36.39,13:45.73,28:51.68,1312
5:40.24,8:01.42,8:34.54,8:36.69,13:46.21,28:52.74,1311
5:40.45,8:01.70,8:34.92,8:36.98,13:46.70,28:53.79,1310
5:40.65,8:01.97,8:35.30,8:37.28,13:47.18,28:54.85,1309
5:40.86,8:02.25,8:35.68,8:37.58,13:47.67,28:55.91,1308
5:41.07,8:02.52,8:36.06,8:37.88,13:48.16,28:56.96,1307
5:41.27,8:02.80,8:36.44,8:38.18,13:48.64,28:58.02,1306
5:41.48,8:03.07,8:36.82,8:38.47,13:49.13,28:59.08,1305
5:41.68,8:03.34,8:37.20,8:38.77,13:49.62,29:00.14,1304
5:41.89,8:03.62,8:37.58,8:39.07,13:50.10,29:01.19,1303
5:42.10,8:03.89,8:37.96,8:39.37,13:50.59,29:02.25,1302
5:42.30,8:04.17,8:38.34,8:39.67,13:51.08,29:03.31,1301
5:42.51,8:04.44,8:38.73,8:39.96,13:51.57,29:04.37,1300
5:42.72,8:04.72,8:39.11,8:40.26,13:52.05,29:05.43,1299
5:42.92,8:05.00,8:39.49,8:40.56,13:52.54,29:06.49,1298
5:43.13,8:05.27,8:39.87,8:40.86,13:53.03,29:07.55,1297
5:43.34,8:05.55,8:40.25,8:41.16,13:53.52,29:08.61,1296
5:43.55,8:05.82,8:40.63,8:41.46,13:54.01,29:09.68,1295
5:43.75,8:06.10,8:41.02,8:41.76,13:54.50,29:10.74,1294
5:43.96,8:06.37,8:41.40,8:42.06,13:54.99,29:11.80,1293
5:44.17,8:06.65,8:41.78,8:42.36,13:55.48,29:12.86,1292
5:44.37,8:06.93,8:42.16,8:42.66,13:55.96,29:13.93,1291
5:44.58,8:07.20,8:42.55,8:42.96,13:56.45,29:14.99,1290
5:44.79,8:07.48,8:42.93,8:43.26,13:56.94,29:16.06,1289
5:45.00,8:07.75,8:43.31,8:43.56,13:57.43,29:17.12,1288
5:45.21,8:08.03,8:43.69,8:43.86,13:57.92,29:18.18,1287
5:45.41,8:08.31,8:44.08,8:44.16,13:58.41,29:19.25,1286
5:45.62,8:08.58,8:44.46,8:44.46,13:58.91,29:20.32,1285
5:45.83,8:08.86,8:44.84,8:44.76,13:59.40,29:21.38,1284
5:46.04,8:09.14,8:45.23,8:45.06,13:59.89,29:22.45,1283
5:46.25,8:09.42,8:45.61,8:45.36,14:00.38,29:23.52,1282
5:46.45,8:09.69,8:46.00,8:45.66,14:00.87,29:24.58,1281
5:46.66,8:09.97,8:46.38,8:45.96,14:01.36,29:25.65,1280
5:46.87,8:10.25,8:46.76,8:46.26,14:01.85,29:26.72,1279
5:47.08,8:10.52,8:47.15,8:46.56,14:02.35,29:27.79,1278
5:47.29,8:10.80,8:47.53,8:46.86,14:02.84,29:28.86,1277
5:47.50,8:11.08,8:47.92,8:47.16,14:03.33,29:29.93,1276
5:47.70,8:11.36,8:48.30,8:47.47,14:03.82,29:31.00,1275
5:47.91,8:11.64,8:48.69,8:47.77,14:04.31,29:32.07,1274
5:48.12,8:11.91,8:49.07,8:48.07,14:04.81,29:33.14,1273
5:48.33,8:12.19,8:49.46,8:48.37,14:05.30,29:34.21,1272
5:48.54,8:12.47,8:49.84,8:48.67,14:05.79,29:35.28,1271
5:48.75,8:12.75,8:50.23,8:48.97,14:06.29,29:36.35,1270
5:48.96,8:13.03,8:50.62,8:49.28,14:06.78,29:37.43,1269
5:49.17,8:13.31,8:51.00,8:49.58,14:07.28,29:38.50,1268
5:49.38,8:13.58,8:51.39,8:49.88,14:07.77,29:39.57,1267
5:49.59,8:13.86,8:51.77,8:50.18,14:08.26,29:40.65,1266
5:49.80,8:14.14,8:52.16,8:50.49,14:08.76,29:41.72,1265
5:50.01,8:14.42,8:52.55,8:50.79,14:09.25,29:42.79,1264
5:50.22,8:14.70,8:52.93,8:51.09,14:09.75,29:43.87,1263
5:50.42,8:14.98,8:53.32,8:51.40,14:10.24,29:44.95,1262
5:50.63,8:15.26,8:53.71,8:51.70,14:10.74,29:46.02,1261
5:50.84,8:15.54,8:54.09,8:52.00,14:11.23,29:47.10,1260
5:51.05,8:15.82,8:54.48,8:52.30,14:11.73,29:48.17,1259
5:51.26,8:16.10,8:54.87,8:52.61,14:12.22,29:49.25,1258
5:51.48,8:16.38,8:55.26,8:52.91,14:12.72,29:50.33,1257
5:51.69,8:16.66,8:55.65,8:53.22,14:13.22,29:51.41,1256
5:51.90,8:16.94,8:56.03,8:53.52,14:13.71,29:52.49,1255
5:52.11,8:17.22,8:56.42,8:53.82,14:14.21,29:53.56,1254
5:52.32,8:17.50,8:56.81,8:54.13,14:14.71,29:54.64,1253
5:52.53,8:17.78,8:57.20,8:54.43,14:15.20,29:55.72,1252
5:52.74,8:18.06,8:57.59,8:54.74,14:15.70,29:56.80,1251
5:52.95,8:18.34,8:57.98,8:55.04,14:16.20,29:57.88,1250
