10 km,15 km,10 Miles,20 km,HM,25 km,30 km,Marathon,100 km,Points
27:45,42:11,45:23,56:51,1:00:02,1:11:47,1:26:54,2:04:20,5:52:57,1400
27:46,42:13,45:25,56:53,1:00:04,1:11:50,1:26:58,2:04:26,5:53:11,1399
27:47,42:14,45:27,56:55,1:00:06,1:11:53,1:27:01,2:04:31,5:53:25,1398
27:48,42:16,45:29,56:57,1:00:09,1:11:56,1:27:05,2:04:37,5:53:40,1397
27:49,42:17,45:30,56:59,1:00:11,1:11:59,1:27:08,2:04:42,5:53:54,1396
27:50,42:19,45:32,57:01,1:00:13,1:12:01,1:27:12,2:04:48,5:54:08,1395
27:51,42:21,45:34,57:03,1:00:15,1:12:04,1:27:15,2:04:53,5:54:22,1394
27:52,42:22,45:35,57:05,1:00:18,1:12:07,1:27:19,2:04:59,5:54:37,1393
27:53,42:24,45:37,57:08,1:00:20,1:12:10,1:27:22,2:05:04,5:54:51,1392
27:54,42:25,45:39,57:10,1:00:22,1:12:13,1:27:26,2:05:10,5:55:05,1391
27:55,42:27,45:40,57:12,1:00:24,1:12:15,1:27:30,2:05:15,5:55:20,1390
27:56,42:28,45:42,57:14,1:00:27,1:12:18,1:27:33,2:05:21,5:55:34,1389
27:57,42:30,45:44,57:16,1:00:29,1:12:21,1:27:37,2:05:26,5:55:49,1388
27:58,42:32,45:45,57:18,1:00:31,1:12:24,1:27:40,2:05:32,5:56:03,1387
27:59,42:33,45:47,57:20,1:00:33,1:12:27,1:27:44,2:05:37,5:56:17,1386
28:00,42:35,45:49,57:23,1:00:36,1:12:30,1:27:47,2:05:43,5:56:32,1385
28:01,42:36,45:50,57:25,1:00:38,1:12:32,1:27:51,2:05:48,5:56:46,1384
28:02,42:38,45:52,57:27,1:00:40,1:12:35,1:27:54,2:05:54,5:57:00,1383
28:03,42:39,45:54,57:29,1:00:42,1:12:38,1:27:58,2:05:59,5:57:15,1382
28:04,42:41,45:56,57:31,1:00:45,1:12:41,1:28:02,2:06:05,5:57:29,1381
28:05,42:43,45:57,57:33,1:00:47,1:12:44,1:28:05,2:06:10,5:57:44,1380
28:06,42:44,45:59,57:35,1:00:49,1:12:46,1:28:09,2:06:16,5:57:58,1379
28:07,42:46,46:01,57:38,1:00:52,1:12:49,1:28:12,2:06:21,5:58:12,1378
28:08,42:47,46:02,57:40,1:00:54,1:12:52,1:28:16,2:06:27,5:58:27,1377
28:09,42:49,46:04,57:42,1:00:56,1:12:55,1:28:19,2:06:32,5:58:41,1376
28:10,42:50,46:06,57:44,1:00:58,1:12:58,1:28:23,2:06:38,5:58:56,1375
28:11,42:52,46:07,57:46,1:01:01,1:13:01,1:28:27,2:06:43,5:59:10,1374
28:12,42:54,46:09,57:48,1:01:03,1:13:03,1:28:30,2:06:49,5:59:24,1373
28:13,42:55,46:11,57:50,1:01:05,1:13:06,1:28:34,2:06:54,5:59:39,1372
28:14,42:57,46:13,57:53,1:01:07,1:13:09,1:28:37,2:07:00,5:59:53,1371
28:15,42:58,46:14,57:55,1:01:10,1:13:12,1:28:41,2:07:05,6:00:08,1370
28:16,43:00,46:16,57:57,1:01:12,1:13:15,1:28:44,2:07:11,6:00:22,1369
28:17,43:01,46:18,57:59,1:01:14,1:13:18,1:28:48,2:07:17,6:00:37,1368
28:18,43:03,46:19,58:01,1:01:17,1:13:20,1:28:52,2:07:22,6:00:51,1367
28:19,43:05,46:21,58:03,1:01:19,1:13:23,1:28:55,2:07:28,6:01:06,1366
28:20,43:06,46:23,58:05,1:01:21,1:13:26,1:28:59,2:07:33,6:01:20,1365
28:21,43:08,46:24,58:08,1:01:23,1:13:29,1:29:02,2:07:39,6:01:35,1364
28:22,43:09,46:26,58:10,1:01:26,1:13:32,1:29:06,2:07:44,6:01:49,1363
28:23,43:11,46:28,58:12,1:01:28,1:13:35,1:29:09,2:07:50,6:02:04,1362
28:24,43:13,46:30,58:14,1:01:30,1:13:37,1:29:13,2:07:55,6:02:18,1361
28:25,43:14,46:31,58:16,1:01:32,1:13:40,1:29:17,2:08:01,6:02:33,1360
28:26,43:16,46:33,58:18,1:01:35,1:13:43,1:29:20,2:08:06,6:02:47,1359
28:27,43:17,46:35,58:20,1:01:37,1:13:46,1:29:24,2:08:12,6:03:02,1358
28:28,43:19,46:36,58:23,1:01:39,1:13:49,1:29:27,2:08:18,6:03:16,1357
28:29,43:20,46:38,58:25,1:01:42,1:13:52,1:29:31,2:08:23,6:03:31,1356
28:31,43:22,46:40,58:27,1:01:44,1:13:54,1:29:35,2:08:29,6:03:45,1355
28:32,43:24,46:42,58:29,1:01:46,1:13:57,1:29:38,2:08:34,6:04:00,1354
28:33,43:25,46:43,58:31,1:01:48,1:14:00,1:29:42,2:08:40,6:04:14,1353
28:34,43:27,46:45,58:33,1:01:51,1:14:03,1:29:45,2:08:45,6:04:29,1352
28:35,43:28,46:47,58:36,1:01:53,1:14:06,1:29:49,2:08:51,6:04:43,1351
28:36,43:30,46:48,58:38,1:01:55,1:14:09,1:29:53,2:08:57,6:04:58,1350
28:37,43:32,46:50,58:40,1:01:58,1:14:12,1:29:56,2:09:02,6:05:12,1349
28:38,43:33,46:52,58:42,1:02:00,1:14:14,1:30:00,2:09:08,6:05:27,1348
28:39,43:35,46:54,58:44,1:02:02,1:14:17,1:30:03,2:09:13,6:05:42,1347
28:40,43:36,46:55,58:46,1:02:05,1:14:20,1:30:07,2:09:19,6:05:56,1346
28:41,43:38,46:57,58:49,1:02:07,1:14:23,1:30:11,2:09:25,6:06:11,1345
28:42,43:40,46:59,58:51,1:02:09,1:14:26,1:30:14,2:09:30,6:06:25,1344
28:43,43:41,47:00,58:53,1:02:11,1:14:29,1:30:18,2:09:36,6:06:40,1343
28:44,43:43,47:02,58:55,1:02:14,1:14:31,1:30:22,2:09:41,6:06:54,1342
28:45,43:44,47:04,58:57,1:02:16,1:14:34,1:30:25,2:09:47,6:07:09,1341
28:46,43:46,47:06,58:59,1:02:18,1:14:37,1:30:29,2:09:52,6:07:24,1340
28:47,43:48,47:07,59:02,1:02:21,1:14:40,1:30:32,2:09:58,6:07:38,1339
28:48,43:49,47:09,59:04,1:02:23,1:14:43,1:30:36,2:10:04,6:07:53,1338
28:49,43:51,47:11,59:06,1:02:25,1:14:46,1:30:40,2:10:09,6:08:08,1337
28:50,43:52,47:12,59:08,1:02:28,1:14:49,1:30:43,2:10:15,6:08:22,1336
28:51,43:54,47:14,59:10,1:02:30,1:14:52,1:30:47,2:10:21,6:08:37,1335
28:52,43:56,47:16,59:12,1:02:32,1:14:54,1:30:50,2:10:26,6:08:51,1334
28:53,43:57,47:18,59:15,1:02:34,1:14:57,1:30:54,2:10:32,6:09:06,1333
28:54,43:59,47:19,59:17,1:02:37,1:15:00,1:30:58,2:10:37,6:09:21,1332
28:55,44:00,47:21,59:19,1:02:39,1:15:03,1:31:01,2:10:43,6:09:35,1331
28:56,44:02,47:23,59:21,1:02:41,1:15:06,1:31:05,2:10:49,6:09:50,1330
28:57,44:04,47:25,59:23,1:02:44,1:15:09,1:31:09,2:10:54,6:10:05,1329
28:58,44:05,47:26,59:26,1:02:46,1:15:12,1:31:12,2:11:00,6:10:19,1328
28:59,44:07,47:28,59:28,1:02:48,1:15:14,1:31:16,2:11:05,6:10:34,1327
29:01,44:08,47:30,59:30,1:02:51,1:15:17,1:31:20,2:11:11,6:10:49,1326
29:02,44:10,47:31,59:32,1:02:53,1:15:20,1:31:23,2:11:17,6:11:03,1325
29:03,44:12,47:33,59:34,1:02:55,1:15:23,1:31:27,2:11:22,6:11:18,1324
29:04,44:13,47:35,59:36,1:02:58,1:15:26,1:31:30,2:11:28,6:11:33,1323
29:05,44:15,47:37,59:39,1:03:00,1:15:29,1:31:34,2:11:34,6:11:48,1322
29:06,44:16,47:38,59:41,1:03:02,1:15:32,1:31:38,2:11:39,6:12:02,1321
29:07,44:18,47:40,59:43,1:03:04,1:15:35,1:31:41,2:11:45,6:12:17,1320
29:08,44:20,47:42,59:45,1:03:07,1:15:38,1:31:45,2:11:51,6:12:32,1319
29:09,44:21,47:44,59:47,1:03:09,1:15:40,1:31:49,2:11:56,6:12:46,1318
29:10,44:23,47:45,59:50,1:03:11,1:15:43,1:31:52,2:12:02,6:13:01,1317
29:11,44:24,47:47,59:52,1:03:14,1:15:46,1:31:56,2:12:07,6:13:16,1316
29:12,44:26,47:49,59:54,1:03:16,1:15:49,1:32:00,2:12:13,6:13:31,1315
29:13,44:28,47:51,59:56,1:03:18,1:15:52,1:32:03,2:12:19,6:13:45,1314
29:14,44:29,47:52,59:58,1:03:21,1:15:55,1:32:07,2:12:24,6:14:00,1313
29:15,44:31,47:54,1:00:01,1:03:23,1:15:58,1:32:11,2:12:30,6:14:15,1312
29:16,44:32,47:56,1:00:03,1:03:25,1:16:01,1:32:14,2:12:36,6:14:30,1311
29:17,44:34,47:57,1:00:05,1:03:28,1:16:04,1:32:18,2:12:41,6:14:44,1310
29:18,44:36,47:59,1:00:07,1:03:30,1:16:06,1:32:22,2:12:47,6:14:59,1309
29:19,44:37,48:01,1:00:09,1:03:32,1:16:09,1:32:25,2:12:53,6:15:14,1308
29:20,44:39,48:03,1:00:11,1:03:35,1:16:12,1:32:29,2:12:58,6:15:29,1307
29:21,44:41,48:04,1:00:14,1:03:37,1:16:15,1:32:33,2:13:04,6:15:44,1306
29:22,44:42,48:06,1:00:16,1:03:39,1:16:18,1:32:36,2:13:10,6:15:58,1305
29:24,44:44,48:08,1:00:18,1:03:42,1:16:21,1:32:40,2:13:15,6:16:13,1304
29:25,44:45,48:10,1:00:20,1:03:44,1:16:24,1:32:44,2:13:21,6:16:28,1303
29:26,44:47,48:11,1:00:22,1:03:46,1:16:27,1:32:47,2:13:27,6:16:43,1302
29:27,44:49,48:13,1:00:25,1:03:49,1:16:30,1:32:51,2:13:32,6:16:58,1301
29:28,44:50,48:15,1:00:27,1:03:51,1:16:33,1:32:55,2:13:38,6:17:12,1300
29:29,44:52,48:17,1:00:29,1:03:53,1:16:35,1:32:58,2:13:44,6:17:27,1299
29:30,44:54,48:18,1:00:31,1:03:56,1:16:38,1:33:02,2:13:50,6:17:42,1298
29:31,44:55,48:20,1:00:34,1:03:58,1:16:41,1:33:06,2:13:55,6:17:57,1297
29:32,44:57,48:22,1:00:36,1:04:00,1:16:44,1:33:09,2:14:01,6:18:12,1296
29:33,44:58,48:24,1:00:38,1:04:03,1:16:47,1:33:13,2:14:07,6:18:27,1295
29:34,45:00,48:25,1:00:40,1:04:05,1:16:50,1:33:17,2:14:12,6:18:42,1294
29:35,45:02,48:27,1:00:42,1:04:07,1:16:53,1:33:20,2:14:18,6:18:56,1293
29:36,45:03,48:29,1:00:45,1:04:10,1:16:56,1:33:24,2:14:24,6:19:11,1292
29:37,45:05,48:31,1:00:47,1:04:12,1:16:59,1:33:28,2:14:29,6:19:26,1291
29:38,45:07,48:32,1:00:49,1:04:14,1:17:02,1:33:31,2:14:35,6:19:41,1290
29:39,45:08,48:34,1:00:51,1:04:17,1:17:05,1:33:35,2:14:41,6:19:56,1289
29:40,45:10,48:36,1:00:53,1:04:19,1:17:07,1:33:39,2:14:47,6:20:11,1288
29:41,45:11,48:38,1:00:56,1:04:21,1:17:10,1:33:42,2:14:52,6:20:26,1287
29:42,45:13,48:39,1:00:58,1:04:24,1:17:13,1:33:46,2:14:58,6:20:41,1286
29:44,45:15,48:41,1:01:00,1:04:26,1:17:16,1:33:50,2:15:04,6:20:56,1285
29:45,45:16,48:43,1:01:02,1:04:28,1:17:19,1:33:53,2:15:09,6:21:11,1284
29:46,45:18,48:45,1:01:04,1:04:31,1:17:22,1:33:57,2:15:15,6:21:25,1283
29:47,45:20,48:46,1:01:07,1:04:33,1:17:25,1:34:01,2:15:21,6:21:40,1282
29:48,45:21,48:48,1:01:09,1:04:35,1:17:28,1:34:05,2:15:27,6:21:55,1281
29:49,45:23,48:50,1:01:11,1:04:38,1:17:31,1:34:08,2:15:32,6:22:10,1280
29:50,45:24,48:52,1:01:13,1:04:40,1:17:34,1:34:12,2:15:38,6:22:25,1279
29:51,45:26,48:54,1:01:16,1:04:43,1:17:37,1:34:16,2:15:44,6:22:40,1278
29:52,45:28,48:55,1:01:18,1:04:45,1:17:40,1:34:19,2:15:50,6:22:55,1277
29:53,45:29,48:57,1:01:20,1:04:47,1:17:43,1:34:23,2:15:55,6:23:10,1276
29:54,45:31,48:59,1:01:22,1:04:50,1:17:45,1:34:27,2:16:01,6:23:25,1275
29:55,45:33,49:01,1:01:24,1:04:52,1:17:48,1:34:30,2:16:07,6:23:40,1274
29:56,45:34,49:02,1:01:27,1:04:54,1:17:51,1:34:34,2:16:12,6:23:55,1273
29:57,45:36,49:04,1:01:29,1:04:57,1:17:54,1:34:38,2:16:18,6:24:10,1272
29:58,45:38,49:06,1:01:31,1:04:59,1:17:57,1:34:42,2:16:24,6:24:25,1271
29:59,45:39,49:08,1:01:33,1:05:01,1:18:00,1:34:45,2:16:30,6:24:40,1270
30:00,45:41,49:09,1:01:36,1:05:04,1:18:03,1:34:49,2:16:35,6:24:55,1269
30:02,45:42,49:11,1:01:38,1:05:06,1:18:06,1:34:53,2:16:41,6:25:10,1268
30:03,45:44,49:13,1:01:40,1:05:08,1:18:09,1:34:56,2:16:47,6:25:25,1267
30:04,45:46,49:15,1:01:42,1:05:11,1:18:12,1:35:00,2:16:53,6:25:40,1266
30:05,45:47,49:16,1:01:45,1:05:13,1:18:15,1:35:04,2:16:59,6:25:55,1265
30:06,45:49,49:18,1:01:47,1:05:16,1:18:18,1:35:08,2:17:04,6:26:10,1264
30:07,45:51,49:20,1:01:49,1:05:18,1:18:21,1:35:11,2:17:10,6:26:25,1263
30:08,45:52,49:22,1:01:51,1:05:20,1:18:24,1:35:15,2:17:16,6:26:40,1262
30:09,45:54,49:24,1:01:54,1:05:23,1:18:27,1:35:19,2:17:22,6:26:55,1261
30:10,45:56,49:25,1:01:56,1:05:25,1:18:30,1:35:23,2:17:27,6:27:10,1260
30:11,45:57,49:27,1:01:58,1:05:27,1:18:33,1:35:26,2:17:33,6:27:26,1259
30:12,45:59,49:29,1:02:00,1:05:30,1:18:35,1:35:30,2:17:39,6:27:41,1258
30:13,46:01,49:31,1:02:02,1:05:32,1:18:38,1:35:34,2:17:45,6:27:56,1257
30:14,46:02,49:32,1:02:05,1:05:35,1:18:41,1:35:37,2:17:50,6:28:11,1256
30:15,46:04,49:34,1:02:07,1:05:37,1:18:44,1:35:41,2:17:56,6:28:26,1255
30:16,46:06,49:36,1:02:09,1:05:39,1:18:47,1:35:45,2:18:02,6:28:41,1254
30:18,46:07,49:38,1:02:11,1:05:42,1:18:50,1:35:49,2:18:08,6:28:56,1253
30:19,46:09,49:40,1:02:14,1:05:44,1:18:53,1:35:52,2:18:14,6:29:11,1252
