Joggler,Giduz_Path,Giduz_Number,Nationality,Gender
Bill Giduz,['Bill Giduz'],0.0,USA,M
Mike Hout,"['Bill Giduz', 'Mike Hout']",1.0,Unknown,M
Scott Anthony,"['Bill Giduz', 'Scott Anthony']",1.0,Unknown,M
Brent Beebe,"['Bill Giduz', 'Brent Beebe']",1.0,Unknown,M
Aaron Olson,"['Bill Giduz', 'Aaron Olson']",1.0,Unknown,M
Mary Holgin,"['Bill Giduz', 'Mary Holgin']",1.0,Unknown,F
Julia Snyder,"['Bill Giduz', 'Julia Snyder']",1.0,Unknown,F
Elias Tarantalo,"['Bill Giduz', 'Elias Tarantalo']",1.0,Unknown,M
Ben Finnigan,"['Bill Giduz', 'Ben Finnigan']",1.0,Unknown,M
Katie Stern,"['Bill Giduz', 'Katie Stern']",1.0,Unknown,F
George Strain,"['Bill Giduz', 'George Strain']",1.0,Unknown,M
Sandy Amass,"['Bill Giduz', 'Sandy Amass']",1.0,Unknown,F
Joshua edleman,"['Bill Giduz', 'Joshua edleman']",1.0,Unknown,M
Nate Seefeldt,"['Bill Giduz', 'Nate Seefeldt']",1.0,Unknown,M
Rachel Stern,"['Bill Giduz', 'Rachel Stern']",1.0,Unknown,F
Erika Randall,"['Bill Giduz', 'Erika Randall']",1.0,Unknown,F
Corey Connors,"['Bill Giduz', 'Corey Connors']",1.0,Unknown,M
Melinda Paas,"['Bill Giduz', 'Melinda Paas']",1.0,CAN,F
Tucker Weisman,"['Bill Giduz', 'Tucker Weisman']",1.0,Unknown,M
Robert Sandberg,"['Bill Giduz', 'Robert Sandberg']",1.0,Unknown,M
Becky Provance,"['Bill Giduz', 'Becky Provance']",1.0,Unknown,F
Laura Provance,"['Bill Giduz', 'Laura Provance']",1.0,Unknown,F
Daniel Margulis,"['Bill Giduz', 'Daniel Margulis']",1.0,Unknown,M
Joe Dean,"['Bill Giduz', 'Joe Dean']",1.0,Unknown,M
Keith Tollefson,"['Bill Giduz', 'Keith Tollefson']",1.0,Unknown,M
Natalie McIntyre,"['Bill Giduz', 'Natalie McIntyre']",1.0,Unknown,F
