Rank,IAAF Points,Distance,Finish Time,Joggler,Gender,Nationality,Date,Drops,Notes / Result Links
1,886,3b 100m,0:00:11.90,Owen Morse,M,USA,16/07/1988,?,http://www.juggling.org/orgs/ija/champs.txt
2,886,3b 100m,0:00:11.68,Owen Morse,M,USA,1989,0,https://www.guinnessworldrecords.com/world-records/fastest-100m-joggling-with-three-objects-men
3,820,3b 5km,0:18:12.00,Gabrielle Foran,F,CAN,05/07/2015,?,https://sites.google.com/site/guelph5kjoggling/results
4,798,3b 5km,0:18:26.00,Gabrielle Foran,F,CAN,2016,?,https://sites.google.com/site/guelph5kjoggling/results
5,763,3b 10km,0:40:06.00,Gabrielle Foran,F,CAN,04/06/2016,?,http://www.recordholders.org/en/list/joggling.html
6,730,3b 5km,0:19:09.00,Gabrielle Foran,F,CAN,2018,?,https://sites.google.com/site/guelph5kjoggling/results
7,726,3b 5km,0:19:12.00,Gabrielle Foran,F,CAN,2017,?,https://sites.google.com/site/guelph5kjoggling/results
8,700,3b 5km,0:19:29.70,Gabrielle Foran,F,CAN,15/07/2017,?,"IJA Database, https://www.juggle.org/enewsletter/2017-07"
9,681,3b 10km,0:33:34.00,Henry Wellenstein,M,USA,05/11/2022,?,https://www.strava.com/activities/8074621672
10,678,3b Mile,0:04:36.80,Caleb Williams,M,USA,14/08/2023,?,"IJA Database, https://www.youtube.com/watch?v=ubG4stsEwPw"
11,671,3b Mile,0:05:40.00,Gabrielle Foran,F,CAN,30/07/2016,?,IJA Database
12,670,3b 1000m,0:02:41.67,Jannik Weiss,M,DEU,01/08/2018,0,https://www.youtube.com/watch?v=gI1bCx23-cc
13,649,3b Mile,0:04:39.00,Henry Wellenstein,M,USA,23/05/2022,0,https://www.strava.com/activities/7136444528
14,643,3b 10km,0:42:58.00,Trish Evans,F,USA,12/11/2011,?,http://www.recordholders.org/en/list/joggling.html
15,640,3b 5km,0:20:10.00,Trish Evans,F,USA,23/06/2012,?,https://www.onlineraceresults.com/race/view_race.php?race_id=25925&num=15&split=TIME&submit_action=Refresh+Leaders#racetop
16,634,3b 100m,0:00:14.48,Hayley Fix,F,USA,05/08/2000,?,https://dev.juggle.org/history/champs/champs2000.php
17,634,3b 100m,0:00:14.96,Lana Bolin,F,USA,05/08/2000,?,https://dev.juggle.org/history/champs/champs2000.php
18,621,3b Half Marathon,1:35:03.00,Dana Giuglielmo,F,USA,16/11/2013,?,https://www.huffpost.com/entry/the-invention-of-joggling_b_6512928  https://www.albanyrunningexchange.org/results/search.php?ID=3667
19,620,3b Mile,0:04:42.00,Will Howard,M,USA,01/02/2003,?,http://www.atlantajugglers.org/aja-media/articles-by-our-members/86-joggling-world-record
20,615,3b 100m,0:00:12.74,Albert Lucas,M,USA,17/07/2002,?,https://dev.juggle.org/history/champs/champs2002.php
21,615,3b 100m,0:00:12.72,Chris Essick,M,USA,17/07/2002,?,https://dev.juggle.org/history/champs/champs2002.php
22,615,3b 100m,0:00:12.16,Albert Lucas,M,USA,05/08/2000,?,https://dev.juggle.org/history/champs/champs2000.php
23,615,3b 100m,0:00:12.90,Albert Lucas,M,USA,21/07/1990,?,http://www.juggling.org/orgs/ija/champs.txt
24,615,3b 100m,0:00:12.10,Owen Morse,M,USA,21/07/1990,?,http://www.juggling.org/orgs/ija/champs.txt
25,615,3b 100m,0:00:12.00,Albert Lucas,M,USA,16/07/1988,?,http://www.juggling.org/orgs/ija/champs.txt
26,615,3b 100m,0:00:12.12,Owen Morse,M,USA,18/07/1987,?,http://www.juggling.org/orgs/ija/champs.txt
27,615,3b 100m,0:00:12.03,Owen Morse,M,USA,26/07/1986,?,http://www.juggling.org/orgs/ija/champs.txt
