Joggler,Nationality,Gender,Years Active,First Active,Last Active,Entry Count,3b 100m,3c 100m,3b 400m,3b Mile,3b 5km,3b 10km,3b Half Marathon,3b Marathon,5b 100m,5b Mile,5b 5km
Klementyeva Nadezhda,RUS,F,1,2022,2022,2,0:01:09.00,-,0:03:33.86,-,-,-,-,-,-,-,-
Simon George,Unknown,M,1,2000,2000,2,-,-,0:01:38.47,0:07:00.00,-,-,-,-,-,-,-
Nathan Wakefield,Unknown,M,7,2011,2017,25,0:00:21.00,-,0:01:27.30,0:07:29.00,0:27:56.00,-,-,-,-,-,-
Jon Conley,USA,M,1,2013,2013,1,-,-,-,-,0:36:31.90,-,-,-,-,-,-
Abraham Wirtz,DEU,M,1,2025,2025,1,-,-,-,-,-,-,1:36:24.00,-,-,-,-
Klaus Neucaror,DEU,M,1,2025,2025,1,-,-,-,-,0:29:46.00,-,-,-,-,-,-
Shivella Schwab,Unknown,F,1,2017,2017,2,0:00:28.97,-,0:02:04.20,-,-,-,-,-,-,-,-
Malachy Kelly,IRL,M,8,2018,2025,8,-,-,-,-,0:23:36.00,-,-,-,-,-,-
Joe Salter,USA,M,5,2009,2013,2,-,-,-,-,-,-,-,3:31:11.00,-,-,-
John Ellwanger,USA,M,5,1984,1988,3,0:00:13.84,-,-,0:05:23.00,-,-,-,-,-,-,-
Paul Bernardo,Unknown,M,1,1983,1983,1,-,-,-,0:05:38.00,-,-,-,-,-,-,-
Koutaro Kawano,JPN,M,3,2020,2022,8,-,-,-,0:06:17.00,0:23:46.00,-,-,4:22:24.00,-,-,-
David Benz,DEU,M,3,2023,2025,4,0:00:34.47,-,0:01:19.42,-,0:22:28.00,-,-,-,-,-,-
Katharina Michalski,DEU,F,1,2026,2026,4,0:00:28.03,-,-,-,-,-,-,-,0:01:54.88,-,-
Juan Cristobal Silva Espinoza,CHL,M,1,2026,2026,2,0:00:23.44,-,-,-,-,-,-,-,0:00:49.43,-,-
David Marcias,Unknown,M,1,1982,1982,1,-,-,-,-,0:19:51.00,-,-,-,-,-,-
Katerina Matulova,CZE,F,1,2025,2025,3,0:00:29.28,-,0:01:42.73,-,0:37:28.00,-,-,-,-,-,-
Jesse Carpenter,USA,M,1,2013,2013,1,-,-,-,-,0:29:21.40,-,-,-,-,-,-
Steve Portwine,GBR,M,1,2011,2011,1,-,-,-,-,-,-,2:04:03.00,-,-,-,-
Danny Gratzer,Unknown,M,1,2011,2011,2,-,-,-,-,-,-,-,-,0:00:52.76,-,-
Artem Chusovitin,RUS,M,1,2021,2021,3,-,-,-,-,-,-,-,-,-,-,-
Yvonne Burchartz,DEU,F,2,2025,2026,12,0:00:21.59,0:00:27.90,0:01:35.94,-,0:35:54.00,-,-,-,-,-,-
Raphael Harris,Unknown,M,1,2017,2017,4,0:00:22.00,-,0:02:02.30,-,-,-,-,-,0:03:40.80,-,-
Brendan McCarthy,Unknown,M,1,2005,2005,2,0:00:38.50,-,-,-,-,-,-,-,-,-,-
Gavin Hossack,Unknown,M,1,2017,2017,1,-,-,-,-,0:30:07.00,-,-,-,-,-,-
Julia Len,RUS,F,2,2021,2022,4,0:01:10.40,-,0:04:49.85,-,-,-,-,-,-,-,-
Johan DuHoffman,Unknown,M,1,1992,1992,1,0:00:20.16,-,-,-,-,-,-,-,-,-,-
