Ranking,Finish Time,IAAF Points,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
1,0:01:13.90,436,Gabrielle Foran,F,CAN,30/07/2016,"IJA, El Paso, Texas",IJA Database
2,0:01:16.00,387,Christa Rypins,F,USA,21/07/1990,"IJA, LA",http://www.juggling.org/orgs/ija/champs.txt
3,0:01:17.69,349,Lana Bolin,F,USA,05/08/2000,"IJA, Montreal",https://dev.juggle.org/history/champs/champs2000.php
4,0:01:21.70,268,Katie Burgess,F,Unknown,02/08/2014,"IJA, West Lafayette",IJA Database
5,0:01:25.37,203,Heather Marriott,F,USA,28/07/2001,"IJA, Wisconsin",https://dev.juggle.org/history/champs/champs2001.php
6,0:01:27.60,167,Melinda Paas,F,CAN,06/08/1997,"IJA, Pittsburgh",https://dev.juggle.org/history/champs/champs1997.php
7,0:01:28.50,154,Rebecca Moore,F,Unknown,15/07/2017,"IJA, Cedar Rapids",IJA Database
8,0:01:29.00,147,Lauren Rice,F,Unknown,18/07/2006,"IJA, Portland, Oregon",https://dev.juggle.org/history/champs/champs2006.php
9,0:01:29.90,135,Bronwyn Neeser,F,Unknown,13/07/2004,"IJA, Buffalo",https://dev.juggle.org/history/champs/champs2004.php
10,0:01:30.43,128,Kathy Glynn,F,USA,25/07/2015,"IJA, Quebec",http://www.juggling.org/orgs/ija/champs.txt
11,0:01:30.80,123,Sarah Earl,F,Unknown,02/08/2014,"IJA, West Lafayette",IJA Database
12,0:01:31.00,120,Sandy Brown,F,Unknown,06/08/1997,"IJA, Pittsburgh",https://dev.juggle.org/history/champs/champs1997.php
13,0:01:31.90,109,Elizabeth Stockbridge,F,Unknown,15/07/2017,"IJA, Cedar Rapids",IJA Database
14,0:01:32.00,108,Becky Provance,F,Unknown,06/08/1997,"IJA, Pittsburgh",https://dev.juggle.org/history/champs/champs1997.php
15,0:01:32.21,105,Ingrid Vukusic,F,Unknown,19/07/2025,"IJA, Evansville",IJA Database
16,0:01:33.00,96,Laura Schroeder,F,Unknown,15/07/2017,"IJA, Cedar Rapids",IJA Database
16,0:01:33.00,96,Laura Provance,F,Unknown,06/08/1997,"IJA, Pittsburgh",https://dev.juggle.org/history/champs/champs1997.php
18,0:01:33.20,94,Dorothy Finnigan,F,Unknown,13/07/2004,"IJA, Buffalo",https://dev.juggle.org/history/champs/champs2004.php
19,0:01:33.54,90,Anezka Houhova,F,CZE,09/08/2025,"European Joggling Championships 2025, EJC Arnhem",EJC results in Joggler's United Group
20,0:01:33.90,86,Summer Cooper,F,USA,22/07/2023,"IJA, Southbend",IJA Database
21,0:01:34.10,84,Kelsey Deutch,F,Unknown,06/08/1997,"IJA, Pittsburgh",https://dev.juggle.org/history/champs/champs1997.php
21,0:01:34.10,84,Julia Snyder,F,Unknown,15/07/1998,"IJA, Primm",IJA Database
23,0:01:34.30,82,Maggie Armstrong,F,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
24,0:01:35.00,75,Erika Randall,F,Unknown,30/07/1999,"IJA, Niagara Falls",IJA Database
25,0:01:37.00,56,Meghan Cain,F,Unknown,20/07/1996,"IJA, Rapid City",https://dev.juggle.org/history/champs/champs1996.php
26,0:01:37.60,51,Marion Caldwell,F,Unknown,06/08/1997,"IJA, Pittsburgh",https://dev.juggle.org/history/champs/champs1997.php
26,0:01:37.60,51,Alayna Bowlin,F,Unknown,02/08/2014,"IJA, West Lafayette",IJA Database
28,0:01:38.00,48,Kaylyn Schull,F,Unknown,22/07/2023,"IJA, Southbend",IJA Database
29,0:01:39.00,40,Joanne Swaim,F,Unknown,24/07/1993,"IJA, Fargo",http://www.juggling.org/orgs/ija/champs.txt
30,0:01:39.50,36,Sydney Paugh,F,Unknown,20/07/2011,"IJA, Rochester",IJA Database
31,0:01:40.40,30,Anna Voelker,F,Unknown,20/07/2013,"IJA, Bowling Green",IJA Database
32,0:01:41.11,26,Amanda Richter,F,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
33,0:01:41.32,25,Anna Kruk,F,POL,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
34,0:01:42.00,21,Iman deLachotta-Lizarazu,F,Unknown,20/07/1996,"IJA, Rapid City",https://dev.juggle.org/history/champs/champs1996.php
34,0:01:42.00,21,Erin Warfield,F,Unknown,20/07/2013,"IJA, Bowling Green",IJA Database
36,0:01:42.50,18,Riga Moettus,F,USA,25/07/2015,"IJA, Quebec",IJA Database
37,0:01:42.78,17,Hannah Stoehr,F,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
38,0:01:43.00,16,Meagan Nouis,F,Unknown,20/07/2013,"IJA, Bowling Green",IJA Database
39,0:01:44.10,11,Verena Rau,F,DEU,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
