Ranking,Finish Time,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
1,0:05:39.01,"Lana Bolin, Kelsey Deutsch, Hayley Fix, Erika Randall",F,Unknown,05/08/2000,"IJA, Montreal",https://dev.juggle.org/history/champs/champs2000.php
2,0:06:11.00,"Lauren Rice, Zoe Roy, Dorothy Finigan, Kelsey Harr",F,Unknown,18/07/2006,"IJA, Portland, Oregon",https://dev.juggle.org/history/champs/champs2006.php
3,0:06:44.80,"Joanne Swaim, Heather Hackett, Becky Kresser, San-D Amass",F,Unknown,30/07/1999,"IJA, Niagara Falls",IJA Database
4,0:06:54.10,"Sandy Brown, Kay Caskey, Kathy Glynn, Laurie Young",F,Unknown,21/07/1990,"IJA, LA",http://www.juggling.org/orgs/ija/champs.txt
5,0:07:08.30,"Kaylyn Schull, Kaylin Meyers, Summer Cooper, JoAnn Ireland",F,Unknown,22/07/2023,"IJA, Southbend",IJA Database
6,0:07:08.48,"Kathy Glynn, Laura Green, Joanne Swain, Laurie Young",F,Unknown,25/07/2015,"IJA, Quebec",http://www.juggling.org/orgs/ija/champs.txt
7,0:07:26.56,"Heather Marriott, Chloe Hirschowitz, Stephanie Walsh, Laura Ernst",F,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
8,0:07:30.27,"Kay Caskey, Kathy Glynn, Laura Green, Laurie Young",F,Unknown,20/07/1991,"IJA, St. Louis",http://www.juggling.org/orgs/ija/champs.txt
9,0:07:43.00,"Sandy Amass, Kathy Glynn, Carol Mills, Joanne Swain",F,Unknown,24/07/1993,"IJA, Fargo",http://www.juggling.org/orgs/ija/champs.txt
10,0:07:57.40,"Sarah Breckenridge, Kay Caskey, Joanne Dintzis, Tina Fraser",F,Unknown,16/07/1988,"IJA, Denver",http://www.juggling.org/orgs/ija/champs.txt
11,0:08:07.00,"Kay Caskey, Laura Green, Jane Hussey, Laurie Young",F,Unknown,24/07/1993,"IJA, Fargo",http://www.juggling.org/orgs/ija/champs.txt
12,0:08:26.00,"Kay Caskey, Laurie Young, Laura Green, Iman deLachotta-Lizarazu",F,Unknown,20/07/1996,"IJA, Rapid City",https://dev.juggle.org/history/champs/champs1996.php
13,0:09:43.00,"Laurie Young, Roni Lynn, Kay Caskey, Cindy Hout",F,Unknown,13/08/1994,"IJA, Vermont",https://dev.juggle.org/history/champs/champs1994.php
14,0:10:03.60,"Laurie Young, Kay Caskey, Jane Birkhead, Karen Gersch",F,Unknown,30/07/1999,"IJA, Niagara Falls",IJA Database
15,0:10:04.00,"Kay Caskey, Cindy Hout, Roni Lynn, Laurie Young",F,Unknown,19/07/1995,"IJA, Las Vegas",https://dev.juggle.org/history/champs/champs1995.php
16,0:10:04.20,"Victoria Amick, Risa Davis, Karen Phariss, Joanne Swain",F,Unknown,20/07/1991,"IJA, St. Louis",http://www.juggling.org/orgs/ija/champs.txt
17,0:10:13.72,"Jane Birkhead, Sandy Brown, Kay Caskey, Laurie Young",F,Unknown,28/07/2001,"IJA, Wisconsin",https://dev.juggle.org/history/champs/champs2001.php
