Ranking,Finish Time,IAAF Points,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
1,0:00:11.68,694,Owen Morse,M,USA,1989,Time Trial,https://www.guinnessworldrecords.com/world-records/fastest-100m-joggling-with-three-objects-men
2,0:00:12.00,613,Albert Lucas,M,USA,16/07/1988,"IJA, Denver",http://www.juggling.org/orgs/ija/champs.txt
3,0:00:12.72,449,Chris Essick,M,Unknown,17/07/2002,"IJA, Reading, Pennsylvania",https://dev.juggle.org/history/champs/champs2002.php
4,0:00:13.00,392,Jerome Ellis,M,Unknown,26/07/1986,"IJA, San Jose",http://www.juggling.org/orgs/ija/champs.txt
5,0:00:13.16,361,Matan Presberg,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
6,0:00:13.20,353,Jeff Mason,M,Unknown,22/07/1989,"IJA, Baltimore",http://www.juggling.org/orgs/ija/champs.txt
7,0:00:13.22,350,Travis Saunders,M,CAN,05/08/2000,"IJA, Montreal",https://dev.juggle.org/history/champs/champs2000.php
8,0:00:13.30,335,Tuey Wilson,M,Unknown,22/07/1989,"IJA, Baltimore",http://www.juggling.org/orgs/ija/champs.txt
9,0:00:13.39,319,Barry Goldmeier,M,USA,25/07/2015,"IJA, Quebec",http://www.juggling.org/orgs/ija/champs.txt
10,0:00:13.42,313,Mike Hout,M,Unknown,25/07/2015,"IJA, Quebec",http://www.juggling.org/orgs/ija/champs.txt
11,0:00:13.57,288,Michael-Lucien Bergeron,M,CAN,25/07/2015,"IJA, Quebec",IJA Database
12,0:00:13.84,244,John Ellwanger,M,Unknown,21/07/1984,"IJA, Las Vegas",http://www.juggling.org/orgs/ija/champs.txt
13,0:00:13.85,242,Mark Fiore,M,USA,25/07/2015,"IJA, Quebec",IJA Database
14,0:00:13.90,235,Tom Sparough,M,Unknown,22/07/1989,"IJA, Baltimore",http://www.juggling.org/orgs/ija/champs.txt
14,0:00:13.90,235,Chris Lovdal,M,Unknown,20/07/2010,"IJA, Nevada",https://dev.juggle.org/history/champs/champs2010.php
14,0:00:13.90,235,David Hussey,M,Unknown,06/08/1997,"IJA, Pittsburgh",https://dev.juggle.org/history/champs/champs1997.php
14,0:00:13.90,235,Tyler Wishau,M,USA,20/07/2010,"IJA, Nevada",https://dev.juggle.org/history/champs/champs2010.php
14,0:00:13.90,235,Jared Janssen,M,Unknown,02/08/2014,"IJA, West Lafayette",IJA Database
14,0:00:13.90,235,Sterling Franklin,M,USA,2024,"IJA, Virtual",IJA Database
20,0:00:13.91,233,David Ferman,M,USA,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
21,0:00:13.99,221,Christopher van Hoomissen,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
22,0:00:14.00,220,Nathan Seedfeldt,M,Unknown,05/08/2000,"IJA, Montreal",https://dev.juggle.org/history/champs/champs2000.php
22,0:00:14.00,220,Bryan Harris,M,Unknown,24/07/2018,"IJA, Springfield",IJA Database
24,0:00:14.03,215,Trey Newsome,M,Unknown,18/07/2006,"IJA, Portland, Oregon",https://dev.juggle.org/history/champs/champs2006.php
