Ranking,Finish Time,IAAF Points,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
1,0:33:34.00,680,Henry Wellenstein,M,USA,05/11/2022,Time Trial,https://www.strava.com/activities/8074621672
2,0:34:47.00,595,Michael-Lucien Bergeron,M,CAN,10/07/2022,"IJA, Virtual",IJA Database
3,0:35:41.00,536,Bob Evans,M,USA,12/11/2011,"Mandarin Run, Jacksonville, Florida",http://1stplacesports.com/man11gradedres.htm
4,0:35:45.00,532,Mike Hebebrand,M,USA,1990,Time Trial,From Email exchange with Mike (April 2023)
5,0:35:49.00,528,Chris Edwin,M,GBR,06/09/2025,Time Trial,https://strava.app.link/bkLuYnB4rWb
6,0:36:22.00,494,Samuel Dean,M,USA,29/09/2024,Run Wild 10km,"https://www.strava.com/activities/12533116223
"
7,0:36:27.00,489,Michal Kapral,M,CAN,10/09/2006,Toronto Island Run,
8,0:36:50.00,465,Jean-Marc Doiron,M,CAN,06/10/2024,"Legs for Literacy 10k, Moncton","https://strava.app.link/FFc2zVbFzOb
https://www.instagram.com/reel/DA4AOVQxmNo/?igsh=aTloNnlpa2Q2em1x
https://results.raceroster.com/v2/en-CA/results/ectbajxgxrmkxvdg/detail/g4fvecyjeb73eng9"
9,0:38:34.98,368,Scott Jenkins,M,GBR,02/02/2025,Time Trial (Track),https://www.strava.com/activities/13517740366
10,0:39:03.00,343,Dominic Lodge,M,GBR,06/09/2025,Time Trial,
11,0:39:32.00,319,Jordan Evans,M,GBR,26/11/2017,Gloucester 10km,https://www.strava.com/activities/1291259819 https://www.thepowerof10.info/resultsfiles/2017/222094_7901_05122017010351_GLOS.pdf
12,0:39:45.00,308,James McDiarmid,M,GBR,22/09/2024,Edinburgh Men's 10km,https://www.mens10k.com/results?event=998&name=james&running_number=&rs=390&gender=&age_category=  https://www.instagram.com/p/DAOqLnPI5MM/
13,0:41:51.00,215,Kacper Suchora,M,POL,10/05/2025,Nowa Huta w Czterech Smakach (Nowa Huta in Four Flavors),chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://utm.run/wp-content/uploads/2025/05/2025_nh4s_wiosna_10.pdf
14,0:42:29.00,190,Daniel Raum,M,AUT,2024,"IJA, Virtual",IJA Database
15,0:43:41.00,147,Easton Smith,M,Unknown,15/07/2025,"IJA, Evansville",IJA Database
16,0:44:00.00,136,Jake Lodge,M,GBR,04/02/2024,Dewsbury 10k,https://racebest.com/results/cz4xa
17,0:44:32.00,120,Tim Ebersole,M,USA,26/11/2020,"Newport Turkey Trot 10k, PA",https://resultscui.active.com/events/2020NewportTurkeyTrot
18,0:44:37.00,117,John Jervis,M,GBR,16/07/2025,Bungay Black Dog Summer Series 10 km - Race 2,https://totalracetiming.co.uk/raceresults/590
19,0:45:15.00,99,Jarek Widomski,M,POL,14/09/2019,VI Run Grand Prix Warsaw,
20,0:46:14.00,74,Necmi Oztoprak,M,TUR,13/10/2019,Munich,https://www.instagram.com/p/B3mGtkLAt7M/  https://www.abavent.de/anmeldeservice/muenchenmarathon2019/ergebnisse?en#3_CF93CE
21,0:46:29.00,68,Richard Ross,M,USA,18/06/2017,"Running of the Balls 10k, New York",https://nycruns.com/race-results?race=the-running-of-the-balls-5k-10k-2&result=241746
22,0:47:01.00,56,Tim Butler,M,GBR,02/04/2007,Lincoln 10km,
23,0:47:45.00,42,Riley McLincha,M,USA,31/05/2003,Oak Apple Run,https://www.athlinks.com/event/28458/results/Event/59571/Course/362940/Entry/139702147
24,0:48:18.00,33,David Tate,M,USA,12/07/2024,"SoJo Glow Run, Utah","https://results.raceroster.com/v2/en-US/results/yxugjq5r2whcfb2x/results?subEvent=205190&page=1

https://x.com/dren_braves/status/1812121270382936405?t=Ebi1nkjCJN84V-ylG4HjHA&s=19"
25,0:48:21.00,32,Ferda Tekgül,M,TUR,04/04/2021,N Kolay ?stanbul Yar? Maratonu 2021,https://event.spor.istanbul/eventresults.aspx
26,0:48:30.00,30,Ricco Visser,M,ZAF,20/07/2024,Makro 10km,Results: https://runningcalendar.co.za/events/makro-10km-road-race/2024/results  Photos: https://www.facebook.com/photo/?fbid=1044895760972333&set=a.1044856174309625 
27,0:50:38.00,6,Levent Denizci,M,TUR,12/10/2016,Milan 10km (Dee Jay 10),https://www.instagram.com/p/BgVHirAgPhN/  https://www.instagram.com/p/BLc4Hh3jnwm/
28,0:51:15.00,2,Jonathan Austin,M,USA,22/04/2023,"Richmond, VA",Email exchange
29,0:52:50.00,0,Rick Kwiatkowski,M,USA,20/04/2024,"Monument Avenue 10k, Richmond VA",https://runsignup.com/Race/Results/53948/IndividualResult/sYCb?resultSetId=463637#U88659713       https://strava.app.link/zn4AiePOLLb
30,0:55:53.00,0,Jorge Vilchis,M,MEX,13/03/2017,SEDENA 10km,https://www.instagram.com/reel/BRlnTukgLnd/
31,0:56:18.00,0,Barak Hirschowitz,M,USA,20/10/2019,Sarasota 10km,
32,0:58:11.00,0,Christian Kloc,M,USA,15/07/2025,"IJA, Evansville",IJA Database
33,0:58:45.00,0,Peter Rottenbach,M,DEU,15/09/2019,Tübingen Heritage Run,https://my.raceresult.com/119388/#0_E863AF 
34,0:59:18.00,0,JL Coldham,M,GBR,19/12/2021,"Aintree, Liverpool",https://results.runthrough.co.uk/results.aspx?CId=16487&RId=4574&EId=2&dt=0&PageNo=4&adv=0
35,0:59:26.00,0,Dillon Hutyra,M,USA,24/02/2024,"Rodeo Run 10km, Houston",https://my.raceresult.com/278914/#2_A6C504
36,0:59:29.00,0,Pete Barnard,M,GBR,04/11/2018,Leeds Abbey Dash,https://results.sporthive.com/events/6460069711597044224/races/446670
37,0:59:43.00,0,Peter Meyer,M,DEU,03/12/2022,Forchheimer Nikolauslauf,https://www.hdsports.at/laufen/forchheimer-nikolauslauf  http://home.mnet-online.de/joggling/aboutme_d.htm
38,1:00:01.00,0,Jack Hirschowitz,M,USA,18/06/2017,"Running of the Balls 10k, New York",https://nycruns.com/race-results?race=the-running-of-the-balls-5k-10k-2&result=241892
39,1:00:29.00,0,Ralph Kidner,M,GBR,04/11/2018,Leeds Abbey Dash,https://results.sporthive.com/events/6460069711597044224/races/446670
39,1:00:29.00,0,Jesse Joyner,M,USA,2008,"Ukrops Monument Avenue 10k (Richmond, VA)",https://www.trackshackresults.com/richmond/results/2008/10k_results.php?Link=46&Type=3&LName=Joyner&FName=Jesse&City=&State=&Country=
41,1:02:58.00,0,Jeff Lutkus,M,USA,15/07/2025,"IJA, Evansville",IJA Database
42,1:03:58.00,0,Ketan Abhonkar,M,IND,22/09/2024,Sinhagad,Pace making! https://alpharacingsolution.com/event/bibres/0ac20134-0478-47f2-917f-ac66740fe9d3/?bibno=1126  https://www.instagram.com/p/DAOoq9KzpN0/?img_index=2
43,1:08:07.00,0,Henry Roessner,M,USA,22/04/2024,Ukrops Monument Avenue 10k,https://www.instagram.com/p/C6DB9rHg_CA/?img_index=3
