Ranking,Finish Time,IAAF Points,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
1,0:03:57.40,468,"Albert Lucas, Owen Morse, Jon Wee, Tuey Wilson",M,Unknown,21/07/1990,"IJA, LA",http://www.juggling.org/orgs/ija/champs.txt
2,0:04:37.00,163,"Albert Lucas, John Zaleskie",M,Unknown,13/08/1994,"IJA, Vermont",https://dev.juggle.org/history/champs/champs1994.php
3,0:04:38.81,153,"Anthony Gatto, Barry Goldmeier, John Kilgust, Jim Steffens",M,Unknown,20/07/1991,"IJA, St. Louis",http://www.juggling.org/orgs/ija/champs.txt
4,0:04:41.30,139,"Steve Otteson, Jim Steffens, Lars Rohrbach, John Kilgust",M,Unknown,22/07/1989,"IJA, Baltimore",http://www.juggling.org/orgs/ija/champs.txt
5,0:04:41.40,139,"Dave Mlakar, Dylan Waickman, Tim Hark, Tyler Wishau",M,Unknown,20/07/2010,"IJA, Nevada",https://dev.juggle.org/history/champs/champs2010.php
6,0:04:41.86,136,"Driggers, Bill Giduz, Billy Gillen, Gary Vice",M,Unknown,20/07/1991,"IJA, St. Louis",http://www.juggling.org/orgs/ija/champs.txt
7,0:04:42.60,132,"Barry Goldmeier, Jamie Whoolery, Chris Essick, Sam Hartford",M,Unknown,17/07/2002,"IJA, Reading, Pennsylvania",https://dev.juggle.org/history/champs/champs2002.php
8,0:04:42.80,131,"Chris Lovdal, Paul Arneberg, Billy Watson, Sean Carney",M,Unknown,20/07/2010,"IJA, Nevada",https://dev.juggle.org/history/champs/champs2010.php
9,0:04:44.30,124,"Lars Rohrback, Jim Steffens, Michael Taylor, Mike Thomason",M,Unknown,21/07/1990,"IJA, LA",http://www.juggling.org/orgs/ija/champs.txt
10,0:04:46.00,115,"Robin Chestnut, Troy Fitzgerald, Bob Hartman, Sean McKinney",M,Unknown,24/07/1993,"IJA, Fargo",http://www.juggling.org/orgs/ija/champs.txt
11,0:04:50.00,97,"Matt Diffee, Trey Newsom, Jamie Whoolery, Chris Essick",M,Unknown,13/07/2004,"IJA, Buffalo",https://dev.juggle.org/history/champs/champs2004.php
12,0:04:51.90,89,"Scott Anthony, Bill Giduz, Barry Goldmeier, John Kilgust",M,Unknown,21/07/1990,"IJA, LA",http://www.juggling.org/orgs/ija/champs.txt
13,0:04:53.00,84,"Chris Essick, Perry Romanowski, Jason Hollandsworth, Len Ferman",M,Unknown,15/07/2008,"IJA, Kentucky",https://dev.juggle.org/history/champs/champs2008.php
14,0:04:53.56,82,"Mike Hout, Michael Nance, Eric Norby, Paul Williamson",M,Unknown,25/07/2015,"IJA, Quebec",http://www.juggling.org/orgs/ija/champs.txt
15,0:04:54.12,79,"Barry Goldmeier, Albert Lucas, Ben Schoenberg, John Zaleskie",M,Unknown,05/08/2000,"IJA, Montreal",https://dev.juggle.org/history/champs/champs2000.php
16,0:04:57.45,67,"Fleming, Mike Thomason, Joe Welling, Wolcott",M,Unknown,20/07/1991,"IJA, St. Louis",http://www.juggling.org/orgs/ija/champs.txt
17,0:04:58.00,65,"Bill Giduz, Mike Hout, Darren Samson, Dan Fitzgerald",M,Unknown,13/08/1994,"IJA, Vermont",https://dev.juggle.org/history/champs/champs1994.php
18,0:05:00.54,56,"Sam Hartford, Ben Schoenberg, Nicolas Souren, Jamie Whoolery",M,Unknown,28/07/2001,"IJA, Wisconsin",https://dev.juggle.org/history/champs/champs2001.php
19,0:05:00.66,55,"Paul Ballard, Richard Courter, Mark Fontaine, Barry Goldmeier",M,Unknown,25/07/2015,"IJA, Quebec",http://www.juggling.org/orgs/ija/champs.txt
20,0:05:11.10,26,"Marlin Ballard, Tom Sparough, Barry Goldmeier, Mike Narotsk",M,Unknown,22/07/1989,"IJA, Baltimore",http://www.juggling.org/orgs/ija/champs.txt
21,0:05:13.00,22,"Keith Baker, Barry Goldmeier, Ben Schoenberg, Jim Steffens",M,Unknown,19/07/1995,"IJA, Las Vegas",https://dev.juggle.org/history/champs/champs1995.php
22,0:05:14.00,20,"Richard Courter, Dan Fitzgerald, Mark Fountain, Bill Giduz",M,Unknown,24/07/1993,"IJA, Fargo",http://www.juggling.org/orgs/ija/champs.txt
23,0:05:14.81,18,"Chris Edwin, Scott Jenkins, Dominic Lodge, Jake Lodge",M,GBR,21/04/2024,"British Joggler Meetup, Darlington",Manually recorded
24,0:05:17.00,14,"Bill Giduz, Sam Kilbourn, Robert Nelson, Albert Lucas",M,Unknown,20/07/1996,"IJA, Rapid City",https://dev.juggle.org/history/champs/champs1996.php
25,0:05:18.23,12,"Markus Furtner, Tyler Wishau, Ben Fry, Tom McClintock",M,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
26,0:05:24.50,4,"Andrew Swan, Bill Giduz, Paul Arneberg, Jack Hirschowitz",M,Unknown,30/07/1999,"IJA, Niagara Falls",IJA Database
27,0:05:27.70,1,"Jacob Heimer, Torsten Hornemann, Harry Rosenberg, Nathan Nard",M,Unknown,22/07/2023,"IJA, Southbend",IJA Database
28,0:05:28.00,1,"Adam Griffin, Shawn Bryan, Daniel Margulies, Chuck Howlie",M,Unknown,20/07/1996,"IJA, Rapid City",https://dev.juggle.org/history/champs/champs1996.php
29,0:05:30.30,0,"Gus Tate, Jesse Joyner, Matt Baum, Andrew Ruiz",M,Unknown,15/07/2008,"IJA, Kentucky",https://dev.juggle.org/history/champs/champs2008.php
30,0:05:31.30,0,"Susumu Kawamura, Muneyuki Tani, Ken Matsuoka, Junichiro Nakashima",M,Unknown,30/07/1999,"IJA, Niagara Falls",IJA Database
31,0:05:31.70,0,"Joey Spicola, Colin Revere, Jack Levy, Len Ferman",M,Unknown,20/07/2010,"IJA, Nevada",https://dev.juggle.org/history/champs/champs2010.php
