Ranking,Finish Time,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
1,0:02:09.29,Jannik Weiss,M,DEU,26/05/2015,Time Trial,https://www.youtube.com/watch?v=-29JenoyYgg
2,0:02:10.90,Caleb Williams,M,USA,2021,IJA Virtual,IJA Database
3,0:02:12.90,Eric Walter,M,Unknown,29/06/2019,"IJA, Fort Wayne",IJA Database
4,0:02:15.50,Tristan Heinicke,M,USA,20/05/2024,Time Trial,https://www.strava.com/activities/11460278327
5,0:02:15.61,Michal Kapral,M,CAN,25/08/2013,Time Trial,https://www.youtube.com/watch?v=Odw5gytllio
6,0:02:19.10,Henry Wellenstein,M,USA,2020,"IJA, Virtual",IJA Database
7,0:02:21.00,Tyler Wishau,M,USA,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
8,0:02:21.80,Michael-Lucien Bergeron,M,CAN,25/07/2015,"IJA, Quebec",IJA Database
9,0:02:22.30,Sterling Franklin,M,USA,2020,"IJA, Virtual",IJA Database
10,0:02:23.50,Len Ferman,M,USA,15/07/2008,"IJA, Kentucky",https://dev.juggle.org/history/champs/champs2008.php
11,0:02:25.30,Trey Newsome,M,Unknown,18/07/2006,"IJA, Portland, Oregon",https://dev.juggle.org/history/champs/champs2006.php
12,0:02:31.00,Nathan Lane,M,Unknown,20/07/2013,"IJA, Bowling Green",IJA Database
13,0:02:32.90,Perry Romanowski,M,USA,15/07/2008,"IJA, Kentucky",https://dev.juggle.org/history/champs/champs2008.php
14,0:02:35.30,Jamie Whoolery,M,Unknown,13/07/2004,"IJA, Buffalo",https://dev.juggle.org/history/champs/champs2004.php
15,0:02:35.40,Aaron Scott,M,USA,2020,"IJA, Virtual",IJA Database
16,0:02:35.90,Ben Fry,M,Unknown,25/07/2015,"IJA, Quebec",IJA Database
17,0:02:37.20,Stephan Cipra,M,Unknown,2021,IJA Virtual,IJA Database
18,0:02:37.50,Matthew Feldman,M,USA,24/07/2018,"IJA, Springfield",IJA Database
19,0:02:37.60,Cooper Williams,M,Unknown,02/08/2014,"IJA, West Lafayette",IJA Database
20,0:02:38.20,Nathan Nard,M,Unknown,22/07/2023,"IJA, Southbend",IJA Database
21,0:02:39.20,Daniel Raum,M,AUT,2022,"IJA, Virtual",IJA Database
22,0:02:41.50,Kylen McClintock,M,Unknown,02/08/2014,"IJA, West Lafayette",IJA Database
23,0:02:42.00,Christoph Mitasch,M,Unknown,2022,"IJA, Virtual",IJA Database
24,0:02:42.90,Mark Fiore,M,USA,22/07/2023,"IJA, Southbend",IJA Database
25,0:02:43.00,Bradley Fox,M,Unknown,20/07/2013,"IJA, Bowling Green",IJA Database
26,0:02:44.00,Paul Arneberg,M,Unknown,14/07/2009,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2009.php
27,0:02:44.10,Nicolas Souren,M,Unknown,02/08/2014,"IJA, West Lafayette",IJA Database
28,0:02:45.80,Chris Essick,M,Unknown,13/07/2004,"IJA, Buffalo",https://dev.juggle.org/history/champs/champs2004.php
29,0:02:47.10,Kyle Barrett,M,Unknown,18/07/2006,"IJA, Portland, Oregon",https://dev.juggle.org/history/champs/champs2006.php
30,0:02:48.00,Chris Merra,M,Unknown,20/07/2011,"IJA, Rochester",IJA Database
31,0:02:49.72,David Ferman,M,USA,17/07/2007,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2007.php
32,0:02:50.60,Brady Xue,M,USA,2022,"IJA, Virtual",IJA Database
33,0:02:50.78,Matt Hall,M,Unknown,17/07/2007,"IJA, Winston-Salem",https://dev.juggle.org/history/champs/champs2007.php
34,0:02:51.00,Sean Carney,M,Unknown,20/07/2010,"IJA, Nevada",https://dev.juggle.org/history/champs/champs2010.php
35,0:02:51.70,Marco Paoletti,M,Unknown,18/07/2006,"IJA, Portland, Oregon",https://dev.juggle.org/history/champs/champs2006.php
36,0:02:52.60,Matt Baum,M,Unknown,15/07/2008,"IJA, Kentucky",https://dev.juggle.org/history/champs/champs2008.php
37,0:02:54.00,Dylan Waickman,M,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
38,0:02:56.00,Jason Matkowksi,M,Unknown,21/07/2012,"IJA, Winston-Salem",IJA Database
39,0:02:57.40,Gabe Jakubisin,M,Unknown,13/07/2004,"IJA, Buffalo",https://dev.juggle.org/history/champs/champs2004.php
