Ranking,Finish Time,IAAF Points,Joggler,Gender,Nationality,Date,Event / Venue,Notes / Result Links
1,0:22:56.00,11,David Lohuis,M,DEU,04/08/2025,"EJC 2025 5km Road Race, Arnhem",EJC results in Joggler's United Group
2,0:27:06.00,0,Leon Vergoossen,M,DEU,04/08/2025,"EJC 2025 5km Road Race, Arnhem",EJC results in Joggler's United Group
3,0:28:29.00,0,Piotr Maciejewski,M,POL,23/12/2023,Ogrod Saski Parkrun,https://www.parkrun.pl/ogrodsaski/results/159/  https://www.instagram.com/p/C1PZlfZNxZU/
4,0:30:34.00,0,Robert Harkonen,M,FIN,04/08/2025,"EJC 2025 5km Road Race, Arnhem",EJC results in Joggler's United Group
5,0:30:36.00,0,Launay Lucien,M,FRA,04/08/2025,"EJC 2025 5km Road Race, Arnhem",EJC results in Joggler's United Group
6,0:31:08.00,0,Kacper Suchora,M,POL,01/11/2025,Mlynowka Krolewska Parkrun,https://www.parkrun.pl/mlynowkakrolewska/results/108/
7,0:35:28.00,0,Stephan Neinhardt,M,DEU,04/08/2025,"EJC 2025 5km Road Race, Arnhem",EJC results in Joggler's United Group
8,0:38:43.00,0,Tim Pieloth,M,DEU,04/08/2025,"EJC 2025 5km Road Race, Arnhem",EJC results in Joggler's United Group
9,0:42:26.00,0,Winnens Kwete,M,FRA,04/08/2025,"EJC 2025 5km Road Race, Arnhem",EJC results in Joggler's United Group
10,0:44:27.00,0,Harry Hirsch,M,DEU,04/08/2025,"EJC 2025 5km Road Race, Arnhem",EJC results in Joggler's United Group
11,0:45:32.00,0,David Harrison,M,GBR,21/09/2024,Cassiobury Parkrun,https://www.parkrun.org.uk/cassiobury/results/439/  https://www.parkrun.org.uk/cassiobury/news/2024/09/
