Distance,Gender,Finish Time,IAAF Points,Joggler,Nationality,Date,Event / Venue,Notes / Result Links
3b 100m,F,0:00:14.48,634,Hayley Fix,USA,05/08/2000,"IJA, Montreal",https://dev.juggle.org/history/champs/champs2000.php
3c 100m,F,0:00:26.74,0,Karly Swaim,USA,06/08/2026,European Joggling Championships 2026 - Finals,https://drive.google.com/file/d/1qnrcWsPurOdbl_2fbmmvB_rNF_XWH7Ph/view?usp=sharing
4b 100m,F,0:00:30.99,0,JoAnn Ireland,USA,22/07/2023,"IJA, Southbend",IJA Database
5b 100m,F,0:00:29.90,0,Delaney Bayles,USA,02/08/2014,"IJA, West Lafayette",IJA Database
7b 100m,F,0:01:52.70,0,Delaney Bayles,USA,02/08/2014,"IJA, West Lafayette",IJA Database
3b 200m,F,0:00:31.83,471,Trish Evans,USA,20/07/2011,"IJA, Rochester",IJA Database
4b 200m,F,0:01:54.00,0,JoAnn Ireland,USA,2021,IJA Virtual,IJA Database
5b 200m,F,0:01:53.49,0,Delaney Bayles,USA,11/07/2024,"IJA, Green Bay",IJA Database
3b 400m,F,0:01:16.00,387,Christa Rypins,USA,21/07/1990,"IJA, LA",http://www.juggling.org/orgs/ija/champs.txt
3c 400m,F,0:02:24.62,0,Karly Swaim,USA,03/08/2026,European Joggling Championships 2026 - Day 2 Qualifying,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
4b 400m,F,0:03:33.00,0,JoAnn Ireland,USA,2022,"IJA, Virtual",IJA Database
5b 400m,F,0:02:33.30,0,Delaney Bayles,USA,02/08/2014,"IJA, West Lafayette",IJA Database
3b 800m,F,0:02:44.70,508,Trish Evans,USA,20/07/2011,"IJA, Rochester",IJA Database
3b 1500m,F,0:11:02.61,0,Zoe Prawda,USA,11/07/2024,"IJA, Green Bay","IJA Database, Giduz 1500m"
3b Mile,F,0:05:58.00,574,Emily Beaver,USA,15/05/2013,Time Trial,https://missouristatebears.com/news/2013/5/15/Emily_Beaver_Sets_World_Record_for_Joggling https://www.guinnessworldrecords.com/world-records/fastest-mile-joggling-with-three-objects-women
3c Mile,F,0:11:16.00,0,Karly Swaim,USA,08/08/2026,European Joggling Championships 2026 - Road Races,https://drive.google.com/file/d/1v5KXHNKD3UqQcFqTQ_POWGjEc5X8w7t7/view?usp=sharing
3b 5km,F,0:20:10.00,640,Trish Evans,USA,23/06/2012,"Fishers Freedom 5km, Indiana",https://www.onlineraceresults.com/race/view_race.php?race_id=25925&num=15&split=TIME&submit_action=Refresh+Leaders#racetop
3c 5km,F,0:31:53.00,28,Karly Swaim,USA,10/06/2023,"5 Alarm, New Jersey",https://my.raceresult.com/246738/results#1_61E9DE
3b 10km,F,0:42:58.00,643,Trish Evans,USA,12/11/2011,"Mandarin Run, Jacksonville, Florida",http://www.recordholders.org/en/list/joggling.html
3b Half Marathon,F,1:35:03.00,621,Dana Giuglielmo,USA,16/11/2013,"Richmon Half Marathon, VA",https://www.huffpost.com/entry/the-invention-of-joggling_b_6512928  https://www.albanyrunningexchange.org/results/search.php?ID=3667
3b Marathon,F,4:02:30.00,404,Sarah Szefi,USA,07/10/2018,Chicago Marathon,https://chicago-history.r.mikatiming.com/2021/?pid=search
