Distance,Gender,Finish Time,IAAF Points,Joggler,Nationality,Date,Event / Venue,Notes / Result Links
3b 100m,M,0:00:16.84,24,Daniel Raum,AUT,2024,"IJA, Virtual",IJA Database
4b 100m,M,0:00:20.00,0,Christoph Mitasch,AUT,2022,"IJA, Virtual",IJA Database
5b 100m,M,0:00:34.23,0,Christoph Mitasch,AUT,2022,"IJA, Virtual",IJA Database
3b 200m,M,0:00:34.24,11,Daniel Raum,AUT,2022,"IJA, Virtual",IJA Database
4b 200m,M,0:00:46.74,0,Christoph Mitasch,AUT,2021,IJA Virtual,IJA Database
5b 200m,M,0:01:16.80,0,Christoph Mitasch,AUT,2022,"IJA, Virtual",IJA Database
3b 400m,M,0:01:15.10,16,Daniel Raum,AUT,25/07/2015,"IJA, Quebec",IJA Database
4b 400m,M,0:01:33.00,0,Christoph Mitasch,AUT,2022,"IJA, Virtual",IJA Database
3b 800m,M,0:02:39.20,104,Daniel Raum,AUT,2022,"IJA, Virtual",IJA Database
3b 1500m,M,0:05:35.00,101,Daniel Raum,AUT,2025,"IJA, Virtual",IJA Database
3b Mile,M,0:05:51.70,143,Daniel Raum,AUT,2024,"IJA, Virtual",IJA Database
3b 5km,M,0:19:58.60,162,Daniel Raum,AUT,2022,"IJA, Virtual",IJA Database
3b 10km,M,0:42:29.00,190,Daniel Raum,AUT,2024,"IJA, Virtual",IJA Database
3b Half Marathon,M,1:32:12.00,225,Daniel Raum,AUT,12/09/2021,"Auffahrtslauf St. Gallen Half Marathon, Switzerland",https://my.raceresult.com/163389/
3b Marathon,M,3:14:19.00,296,Daniel Raum,AUT,13/04/2019,"Linz Marathon, Austria",https://linzmarathon.r.mikatiming.de/2019/?pid=search
