Distance,Gender,Finish Time,IAAF Points,Joggler,Nationality,Date,Event / Venue,Notes / Result Links
3b 100m,M,0:00:13.22,394,Travis Saunders,CAN,05/08/2000,"IJA, Montreal",https://dev.juggle.org/history/champs/champs2000.php
3c 100m,M,0:00:24.92,0,Jean-Guy Beaudry,CAN,09/08/2025,"European Joggling Championships 2025, EJC Arnhem",EJC results in Joggler's United Group
4b 100m,M,0:00:16.25,24,Michal Kapral,CAN,2022,"IJA, Virtual",IJA Database
5b 100m,M,0:00:23.17,0,Michal Kapral,CAN,2022,"IJA, Virtual",IJA Database
3b 200m,M,0:00:26.78,458,Travis Saunders,CAN,27/05/2001,Prefontaine Classic,https://www.flashresults.com/2001_Meets/outdoor/pre/pre.htm
3b 400m,M,0:01:00.46,368,Travis Saunders,CAN,05/08/2000,"IJA, Montreal",https://dev.juggle.org/history/champs/champs2000.php
4b 400m,M,0:01:54.30,0,Michal Kapral,CAN,2022,"IJA, Virtual",IJA Database
3b 800m,M,0:02:15.61,437,Michal Kapral,CAN,25/08/2013,Time Trial,https://www.youtube.com/watch?v=Odw5gytllio
3b 1500m,M,0:05:03.00,273,Michel Lauziere,CAN,18/07/1981,"IJA, Cleveland, Ohio","Email exchange inc photo of newpaper article, http://www.juggling.org/orgs/ija/champs.txt"
3b Mile,M,0:05:25.00,284,Michel Lauziere,CAN,23/07/1983,"IJA, Purchase, NY",http://www.juggling.org/orgs/ija/champs.txt
3b 5km,M,0:16:49.70,516,Michael-Lucien Bergeron,CAN,2020,"IJA, Virtual",IJA Database
3b 10km,M,0:34:47.00,597,Michael-Lucien Bergeron,CAN,10/07/2022,"IJA, Virtual",IJA Database
4b 10km,M,0:55:48.00,0,Michal Kapral,CAN,05/10/2019,"Runinaddu, Maldives ",https://runningmagazine.ca/the-scene/michal-kapral-sets-worlds-first-4-ball-joggling-10k-record-in-paradise/
3b Half Marathon,M,1:17:09.00,583,Michael-Lucien Bergeron,CAN,21/10/2018,Toronto Waterfront Half Marathon,https://runningmagazine.ca/sections/runs-races/bergeron-breaks-half-marathon-joggling-record/
3b Marathon,M,2:50:12.00,554,Michal Kapral,CAN,30/09/2007,Toronto Waterfront Marathon,
