Distance,Gender,Finish Time,IAAF Points,Joggler,Nationality,Date,Event / Venue,Notes / Result Links
3b 100m,M,0:00:13.97,394,Stijn Westerbeek,NLD,06/08/2026,European Joggling Championships 2026 - Finals,https://drive.google.com/file/d/1qnrcWsPurOdbl_2fbmmvB_rNF_XWH7Ph/view?usp=sharing
3c 100m,M,0:00:16.01,24,Stijn Westerbeek,NLD,06/08/2026,European Joggling Championships 2026 - Finals,https://drive.google.com/file/d/1qnrcWsPurOdbl_2fbmmvB_rNF_XWH7Ph/view?usp=sharing
5b 100m,M,0:00:18.47,0,Karel Schuller,NLD,06/08/2026,European Joggling Championships 2026 - Finals,https://drive.google.com/file/d/1qnrcWsPurOdbl_2fbmmvB_rNF_XWH7Ph/view?usp=sharing
7b 100m,M,0:01:24.97,0,Karel Schuller,NLD,02/08/2026,European Joggling Championships 2026 - Day 1 Qualifying,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
3b 400m,M,0:01:02.43,295,Stijn Westerbeek,NLD,06/08/2026,European Joggling Championships 2026 - Finals,https://drive.google.com/file/d/1qnrcWsPurOdbl_2fbmmvB_rNF_XWH7Ph/view?usp=sharing
3b Mile,M,0:05:21.00,310,Stijn Westerbeek,NLD,08/08/2026,European Joggling Championships 2026 - Road Races,https://drive.google.com/file/d/1v5KXHNKD3UqQcFqTQ_POWGjEc5X8w7t7/view?usp=sharing
3c Mile,M,0:06:42.00,0,Stijn Westerbeek,NLD,08/08/2026,European Joggling Championships 2026 - Road Races,https://drive.google.com/file/d/1v5KXHNKD3UqQcFqTQ_POWGjEc5X8w7t7/view?usp=sharing
3b 4x100m,M,0:01:10.75,0,"Stijn Westerbeek, Marijn, Luuk Hofmeijer, Karel Schuller",NLD,06/08/2026,European Joggling Championships 2026 - Finals,https://drive.google.com/file/d/1qnrcWsPurOdbl_2fbmmvB_rNF_XWH7Ph/view?usp=sharing
3c 4x100m,M,0:01:18.66,0,"Stijn Westerbeek, Marijn, Luuk Hofmeijer, Karel Schuller",NLD,06/08/2026,European Joggling Championships 2026 - Finals,https://drive.google.com/file/d/1qnrcWsPurOdbl_2fbmmvB_rNF_XWH7Ph/view?usp=sharing
3b 5km,M,0:19:06.00,240,Stijn Westerbeek,NLD,04/08/2025,"EJC 2025 5km Road Race, Arnhem",EJC results in Joggler's United Group
4b 5km,M,0:29:29.00,0,Karel Schuller,NLD,11/04/2026,Karpendonkse plas parkrun,"https://www.parkrun.co.nl/karpendonkseplas/results/2026-04-11/
https://strava.app.link/ZQWZracOf2b"
3b Half Marathon,M,1:55:59.00,0,Karel Schuller,NLD,07/04/2026,Time Trial,https://strava.app.link/d6VpxHRK81b
3b Marathon,M,4:31:35.00,0,Rik Konings,NLD,13/10/2024,Eindhoven Marathon,"https://results.sporthive.com/events/7249382119669006336/races/491064/bib/5874

"
