Distance,Gender,Finish Time,IAAF Points,Joggler,Nationality,Date,Event / Venue,Notes / Result Links
3b 100m,M,0:00:14.14,221,Sebastian Siwiec,POL,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
3c 100m,M,0:00:27.69,0,Krzysztof Riewold,POL,04/08/2026,European Joggling Championships 2026 - Day 3 Qualifying,https://drive.google.com/file/d/1XEZ6TLz2q2lpJ89CLP3F6wQBp5zFDskm/view?usp=sharing
5b 100m,M,0:01:10.17,0,Krzysztof Riewold,POL,09/08/2025,"European Joggling Championships 2025, EJC Arnhem",EJC results in Joggler's United Group
3b 400m,M,0:01:07.76,147,Jan Nowosad,POL,30/07/2023,EJC Joggling Open,https://www.joggling.pl/joggling-competitionszawody/2023-lublin-open.html
3b Mile,M,0:08:23.00,0,Krzysztof Riewold,POL,08/08/2026,European Joggling Championships 2026 - Road Races,https://drive.google.com/file/d/1v5KXHNKD3UqQcFqTQ_POWGjEc5X8w7t7/view?usp=sharing
3b 5km,M,0:20:16.00,139,Kacper Suchora,POL,18/10/2025,Krakow Parkrun,https://www.parkrun.pl/krakow/results/latestresults/
3c 5km,M,0:28:29.00,0,Piotr Maciejewski,POL,23/12/2023,Ogrod Saski Parkrun,https://www.parkrun.pl/ogrodsaski/results/159/  https://www.instagram.com/p/C1PZlfZNxZU/
3b 10km,M,0:41:51.00,215,Kacper Suchora,POL,10/05/2025,Nowa Huta w Czterech Smakach (Nowa Huta in Four Flavors),chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://utm.run/wp-content/uploads/2025/05/2025_nh4s_wiosna_10.pdf
3c 10km,M,0:52:46.00,0,Jarek Widomski,POL,24/04/2022,"DOZ 10km, Lodz",https://live.sts-timing.pl/dozmaratonlodz2022/person.php?n=3059&dystans=2
3b Half Marathon,M,1:44:35.00,56,Jarek Widomski,POL,15/08/2019,Aleksandrow Zodzki Half Marathon,
3c Half Marathon,M,1:57:55.00,0,Jarek Widomski,POL,03/04/2022,"Pabianice, Poland",
3b Marathon,M,3:39:54.00,110,Jarek Widomski,POL,29/09/2018,Warsaw Marathon,
