Distance,Gender,Finish Time,IAAF Points,Joggler,Nationality,Date,Event / Venue,Notes / Result Links
3b 100m,M,0:00:11.68,886,Owen Morse,USA,1989,Time Trial,https://www.guinnessworldrecords.com/world-records/fastest-100m-joggling-with-three-objects-men
3c 100m,M,0:00:24.47,0,Kanoa Lindiwe,USA,09/08/2025,"European Joggling Championships 2025, EJC Arnhem",EJC results in Joggler's United Group
4b 100m,M,0:00:13.97,394,Mark Fiore,USA,22/07/2023,"IJA, Southbend",IJA Database
5b 100m,M,0:00:13.39,394,Matthew Feldman,USA,15/06/2018,Time Trial,https://www.youtube.com/watch?v=g18oD4SjaEs
7b 100m,M,0:00:41.83,0,Chris Fowler,USA,2022,"IJA, Virtual","IJA Database, https://www.youtube.com/watch?v=PZ8Vb38s-do, "
3b 200m,M,0:00:26.19,458,Chris Essick,USA,27/05/2001,Prefontaine Classic,https://www.flashresults.com/2001_Meets/outdoor/pre/pre.htm
4b 200m,M,0:00:32.70,62,Sterling Franklin,USA,2024,"IJA, Virtual",IJA Database
5b 200m,M,0:00:34.04,11,Mark Fiore,USA,31/05/2025,Track Time Trial,Manually timed by Scott Jenkins & Samuel Dean. https://www.instagram.com/p/DK000HLs_30/
3b 400m,M,0:00:55.80,588,Eric Walter,USA,20/07/2013,"IJA, Bowling Green",IJA Database
4b 400m,M,0:01:23.56,0,Sterling Franklin,USA,2024,"IJA, Virtual",IJA Database
5b 400m,M,0:01:10.50,82,Matthew Feldman,USA,09/08/2011,Time Trial,https://www.youtube.com/watch?v=cLH2TQC3KiQ  https://www.guinnessworldrecords.com/world-records/fastest-400-m-joggling-with-five-objects-male
3b 800m,M,0:02:10.90,535,Caleb Williams,USA,2021,IJA Virtual,IJA Database
4b 800m,M,0:03:40.00,0,Sterling Franklin,USA,2022,"IJA, Virtual",IJA Database
3b 1500m,M,0:04:40.23,448,Samuel Dean,USA,11/07/2024,"IJA, Green Bay","IJA Database, Giduz 1500m"
3b Mile,M,0:04:36.80,678,Caleb Williams,USA,14/08/2023,"IJA, Virtual","IJA Database, https://www.youtube.com/watch?v=ubG4stsEwPw"
5b Mile,M,0:06:33.00,16,Matthew Feldman,USA,27/07/2012,Time Trial,https://www.youtube.com/watch?v=hYjbu2Bbj88
3b 5km,M,0:16:34.00,552,Bob Evans,USA,23/06/2012,"Fishers Freedom 5km, Indiana",https://www.onlineraceresults.com/race/view_race.php?race_id=25925&num=15&split=TIME&submit_action=Refresh+Leaders#racetop
5b 5km,M,0:27:06.00,0,Matthew Feldman,USA,24/05/2011,Time Trial,https://www.youtube.com/watch?v=04xkFcyPr4A
3b 10km,M,0:33:34.00,681,Henry Wellenstein,USA,05/11/2022,Time Trial,https://www.strava.com/activities/8074621672
3b Half Marathon,M,1:17:45.47,565,Samuel Dean,USA,21/09/2025,"Badger Challenge Half Marathon, Madison WI","https://strava.app.link/7VEl0nT4DXb
https://www.givesignup.org/Race/Results/28060/IndividualResult/TMTN?resultSetId=576059#U50715666"
3b Marathon,M,2:49:56.00,557,Samuel Dean,USA,06/12/2025,St. Jude Memphis Marathon,"https://sportstats.one/event/st-jude-marathon-weekend/leaderboard/145472
https://www.strava.com/activities/16668884158/overview"
5b Marathon,M,5:51:41.00,0,Barry Goldmeier,USA,10/10/2010,Chicago Marathon,http://www.marathonguide.com/results/browse.cfm?MIDD=67101010&Gen=B&Begin=31706&End=31805&Max=36159
