Date,Year,Distance,Event / Venue,Joggler,Gender,Nationality,Finish Time,Drops,Notes / Result Links,total_seconds,IAAF Points
04/08/2024,2024,3b Marathon,Bedford Autodrome Marathon,Tim Butler,M,GBR,3:53:37.00,?,Marathon #99: https://www.joggling.co.uk/Marathon-List,14017.0,47
03/08/2024,2024,5b 5km,Edinburgh Parkrun,Scott Jenkins,M,GBR,0:41:27.00,50,https://www.parkrun.org.uk/edinburgh/results/682/,2487.0,0
03/08/2024,2024,3b 5km,Parkrun Mylnowka Krolewska,Kacper Suchora,M,POL,0:22:24.00,2,https://www.parkrun.pl/mlynowkakrolewska/results/latestresults/,1344.0,25
27/07/2024,2024,4b 5km,Holyrood Parkrun,Scott Jenkins,M,GBR,0:31:28.00,6,https://www.parkrun.org.uk/holyrood/results/97/,1888.0,0
27/07/2024,2024,3b 5km,Ogrod Saski Parkrun,Kacper Suchora,M,POL,0:22:20.00,2,https://www.parkrun.pl/ogrodsaski/results/192/,1340.0,27
24/07/2024,2024,3b Half Marathon,"Deseret News Half Marathon, Utah",David Tate,M,USA,1:51:03.00,2,"https://www.brooksee.com/des/results?sort=&race=167301&date=&event=&gender=&division=&search=Tate&loc_169682=&page_169682=1&size_169682=25&loc_169683=&page_169683=1&size_169683=25&loc_169684=&page_169684=1&size_169684=25&loc_169685=&page_169685=1&size_169685=25&page_169688=1&size_169688=25

https://x.com/dren_braves/status/1816118654897111535?t=2yqL4RuYuZs6hg90pxTIKA&s=19",6663.0,12
21/07/2024,2024,3b 5km,"Parade 5000 Road Run, Indiana",Summer Cooper,F,USA,0:22:48.00,0,https://runsignup.com/Race/Results/21507/?resultSetId=473898#resultSetId-473898;perpage:100       https://x.com/TimYoder24/status/1815089986099986624?t=NH7L7hCXvvbrsSzivo68Yw&s=19,1368.0,432
20/07/2024,2024,3b Ultra (41.7 Miles),Manvers Dusk Till Dawn,Tim Butler,M,GBR,12:00:00.00,?,Marathon #98: https://www.strava.com/activities/11940408152,43200.0,0
20/07/2024,2024,3b Ultra (64.2 Miles),Manvers Dusk Till Dawn,Chris Edwin,M,GBR,12:00:00.00,?,https://www.strava.com/activities/11940381650,43200.0,0
20/07/2024,2024,3b 5km,Lister Park Parkrun,Ralph Kidner,M,GBR,0:34:00.00,4,https://www.parkrun.org.uk/listerpark/results/652/,2040.0,0
20/07/2024,2024,3b 5km,Lister Park Parkrun,Jake Lodge,M,GBR,0:21:20.00,0,https://www.parkrun.org.uk/listerpark/results/652/,1280.0,71
20/07/2024,2024,3b Ultra (32.1 Miles),Manvers Dusk Till Dawn,Scott Jenkins,M,GBR,12:00:00.00,3,https://www.strava.com/activities/11939599387,43200.0,0
20/07/2024,2024,3b 5km,Lister Park Parkrun,Scott Jenkins,M,GBR,0:34:01.00,0,https://www.strava.com/activities/11935255004 https://www.parkrun.org.uk/listerpark/results/652/,2041.0,0
20/07/2024,2024,3b 10km,Makro 10km,Ricco Visser,M,ZAF,0:48:30.00,7,Results: https://runningcalendar.co.za/events/makro-10km-road-race/2024/results  Photos: https://www.facebook.com/photo/?fbid=1044895760972333&set=a.1044856174309625 ,2910.0,30
18/07/2024,2024,3b 5km,I Ty Mo?esz Biega? Wieczorem,Kacper Suchora,M,POL,0:21:56.00,1,https://itmbw.pl/itmbwieczorem-wyniki?id=604,1316.0,42
15/07/2024,2024,3b 5km,"IJA, Green Bay",Sterling Franklin,M,USA,0:20:04.00,?,IJA Database,1204.0,154
15/07/2024,2024,3b 5km,"IJA, Green Bay",Torrey Hamilton,M,0,0:24:54.00,?,IJA Database,1494.0,0
15/07/2024,2024,3b 5km,"IJA, Green Bay",Barak Hirschowitz,M,USA,0:24:57.00,?,IJA Database,1497.0,0
15/07/2024,2024,3b 5km,"IJA, Green Bay",Eric Raivo,M,0,0:26:09.00,?,IJA Database,1569.0,0
15/07/2024,2024,3b 5km,"IJA, Green Bay",Jack Hirschowitz,M,USA,0:29:58.00,?,IJA Database,1798.0,0
15/07/2024,2024,3b 5km,"IJA, Green Bay",Draco Tong,M,0,0:29:23.00,?,IJA Database,1763.0,0
15/07/2024,2024,3b 5km,"IJA, Green Bay",Katie Burgess,F,0,0:27:28.00,?,IJA Database,1648.0,165
15/07/2024,2024,3b 5km,"IJA, Green Bay",Meggie Mariah,F,0,0:25:56.00,?,IJA Database,1556.0,239
