Joggler,Giduz_Path,Giduz_Number,Nationality,Gender
Bill Giduz,['Bill Giduz'],0.0,USA,M
David Marcias,"['Bill Giduz', 'David Marcias']",1.0,Unknown,M
Kay Caskey,"['Bill Giduz', 'Kay Caskey']",1.0,Unknown,F
Mike Thomasen,"['Bill Giduz', 'Mike Thomasen']",1.0,Unknown,M
Paul Ballard,"['Bill Giduz', 'Paul Ballard']",1.0,Unknown,M
Kathy Glynn,"['Bill Giduz', 'Kathy Glynn']",1.0,Unknown,F
Sean McLoughlin,"['Bill Giduz', 'Sean McLoughlin']",1.0,Unknown,M
Steve Otteson,"['Bill Giduz', 'Steve Otteson']",1.0,Unknown,M
Larry Kluger,"['Bill Giduz', 'Larry Kluger']",1.0,Unknown,M
Paul Williams,"['Bill Giduz', 'Paul Williams']",1.0,Unknown,M
Dan Berg,"['Bill Giduz', 'Dan Berg']",1.0,Unknown,M
Marty Gardella,"['Bill Giduz', 'Marty Gardella']",1.0,Unknown,M
Michel Lauzière,"['Bill Giduz', 'Michel Lauzière']",1.0,CAN,M
Gerry Berg,"['Bill Giduz', 'Gerry Berg']",1.0,Unknown,M
John Kilgust,"['Bill Giduz', 'John Kilgust']",1.0,Unknown,M
Marion Caldwell,"['Bill Giduz', 'Kay Caskey', 'Marion Caldwell']",2.0,Unknown,F
David Groth,"['Bill Giduz', 'Kay Caskey', 'David Groth']",2.0,Unknown,M
Charles Williams,"['Bill Giduz', 'Kay Caskey', 'Charles Williams']",2.0,Unknown,M
Becky Provance,"['Bill Giduz', 'Kay Caskey', 'Becky Provance']",2.0,Unknown,F
Laura Provance,"['Bill Giduz', 'Kay Caskey', 'Laura Provance']",2.0,Unknown,F
Darin Marriott,"['Bill Giduz', 'Kay Caskey', 'Darin Marriott']",2.0,USA,M
Jerry Kurtz,"['Bill Giduz', 'Kay Caskey', 'Jerry Kurtz']",2.0,Unknown,M
George Faust,"['Bill Giduz', 'Kay Caskey', 'George Faust']",2.0,Unknown,M
Mickey Campaniello,"['Bill Giduz', 'Kay Caskey', 'Mickey Campaniello']",2.0,Unknown,M
Curt Hoffman,"['Bill Giduz', 'Kay Caskey', 'Curt Hoffman']",2.0,Unknown,M
Mark Kolbus,"['Bill Giduz', 'Kay Caskey', 'Mark Kolbus']",2.0,Unknown,M
Trish Evans,"['Bill Giduz', 'John Kilgust', 'Trish Evans']",2.0,USA,F
Chris Merra,"['Bill Giduz', 'John Kilgust', 'Chris Merra']",2.0,Unknown,M
Billy Watson,"['Bill Giduz', 'John Kilgust', 'Billy Watson']",2.0,Unknown,M
Charles Schweitzer,"['Bill Giduz', 'John Kilgust', 'Charles Schweitzer']",2.0,USA,M
Bob Evans,"['Bill Giduz', 'John Kilgust', 'Bob Evans']",2.0,USA,M
Paul Arneberg,"['Bill Giduz', 'Kay Caskey', 'Paul Arneberg']",2.0,Unknown,M
Mike Hebebrand,"['Bill Giduz', 'John Kilgust', 'Mike Hebebrand']",2.0,USA,M
Heather Marriott,"['Bill Giduz', 'Kay Caskey', 'Heather Marriott']",2.0,USA,F
Albert Lucas,"['Bill Giduz', 'John Kilgust', 'Albert Lucas']",2.0,USA,M
Billy Gillen,"['Bill Giduz', 'John Kilgust', 'Billy Gillen']",2.0,USA,M
Bill Coad,"['Bill Giduz', 'Kay Caskey', 'Bill Coad']",2.0,USA,M
Tim Baird,"['Bill Giduz', 'Kay Caskey', 'Tim Baird']",2.0,Unknown,M
Tyler Wishau,"['Bill Giduz', 'John Kilgust', 'Tyler Wishau']",2.0,USA,M
Reese Edwards,"['Bill Giduz', 'Kay Caskey', 'Reese Edwards']",2.0,Unknown,M
Scott Anthony,"['Bill Giduz', 'Kay Caskey', 'Scott Anthony']",2.0,Unknown,M
Laurie Young,"['Bill Giduz', 'John Kilgust', 'Laurie Young']",2.0,Unknown,F
Keith Baker,"['Bill Giduz', 'Kay Caskey', 'Keith Baker']",2.0,Unknown,M
Eric Promislow,"['Bill Giduz', 'John Kilgust', 'Eric Promislow']",2.0,Unknown,M
Tina Fraser,"['Bill Giduz', 'John Kilgust', 'Tina Fraser']",2.0,Unknown,F
John Ellwanger,"['Bill Giduz', 'John Kilgust', 'John Ellwanger']",2.0,Unknown,M
Kirk Swenson,"['Bill Giduz', 'Marty Gardella', 'Kirk Swenson']",2.0,USA,M
Owen Morse,"['Bill Giduz', 'Marty Gardella', 'Owen Morse']",2.0,USA,M
Natalie McIntyre,"['Bill Giduz', 'Kay Caskey', 'Natalie McIntyre']",2.0,Unknown,F
Andrew Head,"['Bill Giduz', 'Michel Lauzière', 'Andrew Head']",2.0,Unknown,M
Andrew Swan,"['Bill Giduz', 'Kay Caskey', 'Andrew Swan']",2.0,Unknown,M
Paul Bernardo,"['Bill Giduz', 'Michel Lauzière', 'Paul Bernardo']",2.0,Unknown,M
Steve Wilson,"['Bill Giduz', 'John Kilgust', 'Steve Wilson']",2.0,Unknown,M
Robert Slick,"['Bill Giduz', 'John Kilgust', 'Robert Slick']",2.0,Unknown,M
Barry Goldmeier,"['Bill Giduz', 'Kay Caskey', 'Barry Goldmeier']",2.0,USA,M
Mark Branner,"['Bill Giduz', 'John Kilgust', 'Mark Branner']",2.0,Unknown,M
Roni Lynn,"['Bill Giduz', 'Kay Caskey', 'Roni Lynn']",2.0,Unknown,F
Christa Rypins,"['Bill Giduz', 'John Kilgust', 'Christa Rypins']",2.0,Unknown,F
Robin Chestnut,"['Bill Giduz', 'Kay Caskey', 'Robin Chestnut']",2.0,Unknown,M
Adam Griffin,"['Bill Giduz', 'Kay Caskey', 'Adam Griffin']",2.0,Unknown,M
Ben Schoenberg,"['Bill Giduz', 'Kay Caskey', 'Ben Schoenberg']",2.0,Unknown,M
Sam Wildofsky,"['Bill Giduz', 'Kay Caskey', 'Sam Wildofsky']",2.0,Unknown,M
Joe Lyons,"['Bill Giduz', 'John Kilgust', 'Joe Lyons']",2.0,Unknown,M
Andrea Goranson,"['Bill Giduz', 'Kay Caskey', 'Andrea Goranson']",2.0,Unknown,F
Nathan Wakefield,"['Bill Giduz', 'John Kilgust', 'Nathan Wakefield']",2.0,Unknown,M
Shidan Habib,"['Bill Giduz', 'Michel Lauzière', 'Shidan Habib']",2.0,Unknown,M
Dean Bennett,"['Bill Giduz', 'John Kilgust', 'Dean Bennett']",2.0,Unknown,M
Jim Shellard,"['Bill Giduz', 'Kay Caskey', 'Jim Shellard']",2.0,Unknown,M
Carol Mills,"['Bill Giduz', 'Kay Caskey', 'Carol Mills']",2.0,Unknown,F
Jay Pittman ,"['Bill Giduz', 'Kay Caskey', 'Jay Pittman ']",2.0,Unknown,M
Troy Fitzgerald,"['Bill Giduz', 'Kay Caskey', 'Troy Fitzgerald']",2.0,Unknown,M
