Date,Year,Distance,Standard Distance?,Event / Venue,Joggler,Gender,Nationality,Finish Time,Drops,Notes / Result Links
28/01/2024,2024,3b 6.7km,No,"The Snowy Soles Snowshoe Race, Ontario",Michal Kapral,M,CAN,00:49:24,?,https://www.instagram.com/p/C2pmYbarGbq/
27/01/2024,2024,3b 5km,Yes,Młynówka Królewska Parkrun,Kacper Suchora,M,POL,00:23:45,?,https://www.parkrun.pl/mlynowkakrolewska/results/18/
27/01/2024,2024,3b 5km,Yes,Holyrood Parkrun,James McDiarmid,M,GBR,00:21:30,0,https://www.parkrun.org.uk/holyrood/results/73/
27/01/2024,2024,3b 5km,Yes,Holyrood Parkrun,Scott Jenkins,M,GBR,00:25:21,3,https://www.parkrun.org.uk/holyrood/results/73/
27/01/2024,2024,3b 5km,Yes,College of Micronesia-FSM Fun Run,Dana Lee Ling,M,FSM,00:38:11,?,https://www.strava.com/athletes/16093155?oq=dan
20/01/2024,2024,3b 5km,Yes,Młynówka Królewska Parkrun,Kacper Suchora,M,POL,00:25:06,?,https://www.parkrun.pl/mlynowkakrolewska/results/17/
20/01/2024,2024,3b 5km,Yes,SoJo Break the Freeze 5km,David Tate,M,USA,00:25:37,?,
14/01/2024,2023,3b Ultra (28.7m),No,Rasselbock Winter Run,Tim Butler,M,GBR,05:24:17,?,https://www.joggling.co.uk/Marathon-List
14/01/2024,2024,3b 5km,Yes,"Shark Bite 5km, Florida",Heather Thompson,F,USA,00:35:22,?,https://runsignup.com/Race/Results/24835/IndividualResult/gtCh?resultSetId=433509#U55948253  https://www.instagram.com/p/C2FbTLSOmTN/
13/01/2024,2024,3b 5km,Yes,Młynówka Królewska Parkrun,Kacper Suchora,M,POL,00:24:09,?,https://www.parkrun.pl/mlynowkakrolewska/results/16/
30/12/2023,2023,3b 5km,Yes,Park im. Jana Pawla II Parkrun,Kacper Suchora,M,POL,00:22:10,3,https://www.parkrun.pl/parkimjanapawlaii/results/149/
26/12/2023,2023,3b 5km,Yes,Ogrod Saski Parkrun,Kacper Suchora,M,POL,00:23:13,3,https://www.parkrun.pl/ogrodsaski/results/160/
23/12/2023,2023,3b 5km,Yes,Park im. Jana Pawla II Parkrun,Kacper Suchora,M,POL,00:22:59,?,https://www.parkrun.pl/parkimjanapawlaii/results/148/ Finished 2nd overall
23/12/2023,2023,3b 5km,Yes,"Watergrove Parkrun, Rochdale",Jake Lodge,M,GBR,00:24:00,5,https://www.strava.com/activities/10423529584
23/12/2023,2023,3c 5km,Yes,Ogrod Saski Parkrun,Piotr Maciejewski,M,POL,00:28:29,?,https://www.parkrun.pl/ogrodsaski/results/159/  https://www.instagram.com/p/C1PZlfZNxZU/
17/12/2023,2023,3b Marathon,Yes,Portsmouth Coastal Marathon,Tim Butler,M,GBR,04:43:28,?,https://www.joggling.co.uk/Marathon-List    https://www.strava.com/activities/10395071435
17/12/2023,2023,3b 5km,Yes,Edinburgh Parkrun,James McDiarmid,M,GBR,00:20:01,0,https://www.instagram.com/p/C09KG53t49D/
16/12/2023,2023,3b 5km,Yes,"Santa Run 5km, Madison, Wisconsin",Samuel Dean,M,USA,00:19:21,1,https://www.strava.com/activities/10391427729
16/12/2023,2023,3b 5km,Yes,Gunnersbury Parkrun,Jake Lodge,M,GBR,00:20:18,0,https://www.parkrun.org.uk/gunnersbury/results/551/   https://www.strava.com/activities/10387513928
16/12/2023,2023,3b 5km,Yes,Saski Garden Parkrun,Piotr Maciejewski,M,POL,00:24:17,?,https://www.parkrun.pl/ogrodsaski/results/158/   https://www.instagram.com/p/C085THksMId/
15/12/2023,2023,3b 5km,Yes,Mlynowka Krolewska Parkrun,Kacper Suchora,M,POL,00:24:54,?,https://www.parkrun.pl/mlynowkakrolewska/results/12/
10/12/2023,2023,3b Marathon,Yes,Christmas Canal Canter,Tim Butler,M,GBR,04:47:04,?,https://www.joggling.co.uk/Marathon-List   https://www.strava.com/activities/10359040637
10/12/2023,2023,5b Marathon,Yes,Dallas Marathon,Barry Goldmeier,M,USA,06:28:04,?,https://mychiptime.com/searchevent.php?id=15519
09/12/2023,2023,3b 5km,Yes,Livingston Parkrun,Scott Jenkins,M,GBR,00:26:46,1,https://www.parkrun.org.uk/livingston/results/341/  https://www.strava.com/activities/10351755810
03/12/2023,2023,3c 3km,No,Blackpool Santa Dash,JL Coldham,M,GBR,00:22:43,?,https://www.strava.com/activities/10321484421
02/12/2023,2023,3b 5km,Yes,Meadowmill Parkrun,Scott Jenkins,M,GBR,00:22:45,0,https://www.parkrun.org.uk/meadowmill/results/159/  https://www.strava.com/activities/10315030947
02/12/2023,2023,3b 5km,Yes,"Frosty 5km, Middletown, Pittsburgh",Tim Ebersole,M,USA,00:21:00,?,https://www.strava.com/activities/10316799917
30/11/2023,2023,3b 5km,Yes,I Ty Możesz Biegać Wieczorem,Kacper Suchora,M,POL,00:24:17,?,https://itmbw.pl/itmbwieczorem-wyniki?id=574
